event_id,sport_title,home_team,away_team,commence_time,market,outcome,BetMGM,BetOnline.ag,BetRivers,BetUS,Bovada,Caesars,DraftKings,FanDuel,LowVig.ag
10b2f5812079e633ec11452c5f804aa9,NHL,Chicago Blackhawks,Anaheim Ducks,2024-11-20T01:30:00Z,h2h,Anaheim Ducks,145.0,158.0,143.0,155.0,130.0,150.0,150.0,146.0,158.0
10b2f5812079e633ec11452c5f804aa9,NHL,Chicago Blackhawks,Anaheim Ducks,2024-11-20T01:30:00Z,h2h,Chicago Blackhawks,-175.0,-178.0,-177.0,-180.0,-150.0,-178.0,-180.0,-176.0,-178.0
24df7f4a052aad3f43c0c6291dcb1974,NHL,Vancouver Canucks,New York Rangers,2024-11-20T03:00:00Z,h2h,New York Rangers,-110.0,-103.0,-110.0,-105.0,-117.0,-105.0,-105.0,-110.0,-103.0
24df7f4a052aad3f43c0c6291dcb1974,NHL,Vancouver Canucks,New York Rangers,2024-11-20T03:00:00Z,h2h,Vancouver Canucks,-110.0,-109.0,-110.0,-115.0,-103.0,-115.0,-115.0,-110.0,-109.0
315d4f7ef5591324dbff4538ebe4bd30,NHL,Calgary Flames,New York Islanders,2024-11-20T02:00:00Z,h2h,Calgary Flames,-115.0,-110.0,-114.0,-115.0,-112.0,-115.0,-112.0,-108.0,-110.0
315d4f7ef5591324dbff4538ebe4bd30,NHL,Calgary Flames,New York Islanders,2024-11-20T02:00:00Z,h2h,New York Islanders,-105.0,-102.0,-107.0,-105.0,-108.0,-105.0,-108.0,-111.0,-102.0
4c44e292e8edb0593ef6a2224ceb70db,NHL,Dallas Stars,San Jose Sharks,2024-11-21T01:00:00Z,h2h,Dallas Stars,No Data,No Data,-400.0,No Data,No Data,-455.0,No Data,-430.0,No Data
4c44e292e8edb0593ef6a2224ceb70db,NHL,Dallas Stars,San Jose Sharks,2024-11-21T01:00:00Z,h2h,San Jose Sharks,No Data,No Data,300.0,No Data,No Data,345.0,No Data,330.0,No Data
56318c64f629e2d6f74e0dd2cbdedcd7,NHL,Seattle Kraken,Nashville Predators,2024-11-21T03:00:00Z,h2h,Nashville Predators,No Data,No Data,-124.0,No Data,No Data,-135.0,-130.0,-137.0,No Data
56318c64f629e2d6f74e0dd2cbdedcd7,NHL,Seattle Kraken,Nashville Predators,2024-11-21T03:00:00Z,h2h,Seattle Kraken,No Data,No Data,102.0,No Data,No Data,115.0,110.0,114.0,No Data
