value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betanysports_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
lowvig,102.0,-0.08206855361736631,Coastal Carolina Chanticleers @ UTSA Roadrunners,spreads,,Coastal Carolina Chanticleers,10.0,-114.0,,-115.0,-102.0,-114.0,,-110.0,-108.0,-110.0,,,-110.0,102.0,,0.4544215081102147,2.02
betanysports,205.0,0.03583485346661708,BYU Cougars @ Colorado Buffaloes,h2h,,BYU Cougars,,160.0,205.0,180.0,205.0,160.0,185.0,195.0,185.0,190.0,168.0,,180.0,205.0,155.0,0.3396179847431532,3.05
betonlineag,205.0,0.03583485346661708,BYU Cougars @ Colorado Buffaloes,h2h,,BYU Cougars,,160.0,205.0,180.0,205.0,160.0,185.0,195.0,185.0,190.0,168.0,,180.0,205.0,155.0,0.3396179847431532,3.05
lowvig,205.0,0.03583485346661708,BYU Cougars @ Colorado Buffaloes,h2h,,BYU Cougars,,160.0,205.0,180.0,205.0,160.0,185.0,195.0,185.0,190.0,168.0,,180.0,205.0,155.0,0.3396179847431532,3.05
lowvig,104.0,-0.09232599988390333,Indiana Hoosiers @ Georgia Bulldogs,spreads,,Indiana Hoosiers,6.5,,,,100.0,,,,-110.0,,-114.0,,,104.0,,0.4449382353510278,2.04
draftkings,340.0,0.060640671663900636,North Texas Mean Green @ Texas State Bobcats,h2h,,North Texas Mean Green,,280.0,292.0,290.0,300.0,280.0,295.0,285.0,340.0,300.0,300.0,,300.0,300.0,300.0,0.2410546981054319,4.4
windcreek,-200.0,-0.009426977114729618,BYU Cougars @ Colorado Buffaloes,h2h,,Colorado Buffaloes,,-200.0,-245.0,-225.0,-245.0,-200.0,-220.0,-235.0,-225.0,-225.0,-205.0,,-230.0,-245.0,-200.0,0.6603820152568469,1.5
ballybet,-200.0,-0.009426977114729618,BYU Cougars @ Colorado Buffaloes,h2h,,Colorado Buffaloes,,-200.0,-245.0,-225.0,-245.0,-200.0,-220.0,-235.0,-225.0,-225.0,-205.0,,-230.0,-245.0,-200.0,0.6603820152568469,1.5
betparx,-200.0,-0.009426977114729618,BYU Cougars @ Colorado Buffaloes,h2h,,Colorado Buffaloes,,-200.0,-245.0,-225.0,-245.0,-200.0,-220.0,-235.0,-225.0,-225.0,-205.0,,-230.0,-245.0,-200.0,0.6603820152568469,1.5
lowvig,-108.0,-0.01851851851851849,Pittsburgh Panthers @ Toledo Rockets,totals,,Over,50.5,,-110.0,,-110.0,,,,,,,-140.0,,-108.0,,0.5096153846153846,1.925925925925926
