value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds,EV
betonlineag,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Jaylen Wright,Yes,,370.0,700.0,900.0,,900.0,500.0,600.0,435.0,450.0,,0.1332708615400685,10.0,0.3327086154006851
draftkings,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Jaylen Wright,Yes,,370.0,700.0,900.0,,900.0,500.0,600.0,435.0,450.0,,0.1332708615400685,10.0,0.3327086154006851
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_sacks,Za'Darius Smith,Under,0.5,,,100.0,,,-125.0,,-130.0,-125.0,,0.5059459142159402,2.0,0.011891828431880302
ballybet,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_receptions,Dontayvion Wicks,Over,3.5,143.0,110.0,118.0,,120.0,120.0,,100.0,110.0,,0.4314610223343602,2.43,0.0484502842724952
fanduel,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Emanuel Wilson,Yes,,265.0,500.0,500.0,500.0,500.0,550.0,700.0,435.0,450.0,,0.1544565430407188,8.0,0.23565234432575033
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_pass_tds,Jared Goff,Under,1.5,-106.0,100.0,112.0,,105.0,-115.0,-114.0,-125.0,-110.0,,0.4810401522241976,2.12,0.019805122715298884
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_pass_attempts,Caleb Williams,Under,33.5,-114.0,-105.0,,,100.0,-105.0,110.0,-130.0,-110.0,,0.4821002131136689,2.1,0.012410447538704905
fanduel,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Dontayvion Wicks,Yes,,190.0,275.0,290.0,290.0,290.0,225.0,310.0,210.0,210.0,,0.2507469338145175,4.1,0.028062428639521686
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_sacks,Alim McNeill,Under,0.5,,,-200.0,,,-250.0,,-260.0,-240.0,,0.65363732186525,1.5,-0.019544017202124953
fliff,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Sam LaPorta,Yes,,190.0,240.0,200.0,240.0,240.0,200.0,250.0,285.0,260.0,,0.2639303526065772,3.85,0.016131857535322203
fanduel,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_pass_interceptions,Jordan Love,Over,0.5,-136.0,-160.0,-156.0,,-155.0,-155.0,-128.0,-170.0,-160.0,,0.562948641842268,1.78125,0.00275226828153996
espnbet,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_tackles_assists,Jaylon Johnson,Over,3.5,120.0,105.0,,,125.0,135.0,,100.0,110.0,,0.433703429975367,2.35,0.019203060442112507
bovada,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_reception_yds,Odell Beckham Jr.,Over,13.5,,-110.0,,105.0,,,,-125.0,-110.0,,0.4859642537338315,2.05,-0.003773279845645461
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,DJ Moore,Yes,,185.0,180.0,190.0,195.0,195.0,225.0,240.0,190.0,195.0,,0.2932233277049725,3.4,-0.003040685803093468
fanduel,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Jayden Reed,Yes,,130.0,145.0,140.0,140.0,140.0,130.0,175.0,165.0,170.0,,0.3535522783479896,2.75,-0.027731234543028616
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Jameson Williams,Yes,,165.0,190.0,260.0,260.0,260.0,210.0,230.0,190.0,200.0,,0.2778405988433838,3.6,0.00022615583618179613
bovada,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Jameson Williams,Yes,,165.0,190.0,260.0,260.0,260.0,210.0,230.0,190.0,200.0,,0.2778405988433838,3.6,0.00022615583618179613
draftkings,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Jameson Williams,Yes,,165.0,190.0,260.0,260.0,260.0,210.0,230.0,190.0,200.0,,0.2778405988433838,3.6,0.00022615583618179613
fanduel,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_anytime_td,Brock Wright,Yes,,800.0,500.0,450.0,475.0,475.0,800.0,900.0,700.0,800.0,,0.1218756293523817,10.0,0.21875629352381698
fanduel,e6b414e1b7a012e57d1a0746769f28a2,Miami Dolphins @ Green Bay Packers,player_anytime_td,Christian Watson,Yes,,148.0,200.0,210.0,215.0,215.0,175.0,230.0,175.0,180.0,,0.2995499375641309,3.3,-0.011485206038368001
betonlineag,818a0f592da4fc2dea2a8caa3170bd6f,Chicago Bears @ Detroit Lions,player_receptions,Rome Odunze,Under,3.5,117.0,115.0,128.0,105.0,110.0,115.0,108.0,-110.0,100.0,,0.4468239221460208,2.28,0.0187585424929273
