value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fliff,295.0,0.3457018217950546,Washington Commanders @ New Orleans Saints,player_anytime_td,Kendre Miller,Yes,,175.0,150.0,150.0,137.0,150.0,135.0,-105.0,295.0,175.0,,0.3406840055177353,3.95
fanduel,340.0,0.279285235220849,New York Jets @ Jacksonville Jaguars,player_anytime_td,Braelon Allen,Yes,,220.0,100.0,250.0,150.0,255.0,200.0,340.0,,,,0.2907466443683748,4.4
betmgm,15000.0,9.414702711842907,Baltimore Ravens @ New York Giants,player_1st_td,No Touchdown,Yes,,,15000.0,,240.0,12000.0,,,,,12000.0,0.0689715411380325,151.0
draftkings,12000.0,7.345556477701933,Baltimore Ravens @ New York Giants,player_1st_td,No Touchdown,Yes,,,15000.0,,240.0,12000.0,,,,,12000.0,0.0689715411380325,121.0
windcreek,12000.0,7.345556477701933,Baltimore Ravens @ New York Giants,player_1st_td,No Touchdown,Yes,,,15000.0,,240.0,12000.0,,,,,12000.0,0.0689715411380325,121.0
ballybet,1200.0,0.7445505766275715,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Trey Palmer,Yes,,1200.0,375.0,325.0,900.0,340.0,700.0,850.0,,,,0.1341961982021209,13.0
fanduel,900.0,0.57582168975965,Buffalo Bills @ Detroit Lions,player_anytime_td,Mack Hollins,Yes,,370.0,300.0,350.0,400.0,380.0,500.0,900.0,535.0,575.0,,0.157582168975965,10.0
hardrockbet,-115.0,-0.0035303095709625643,Cincinnati Bengals @ Tennessee Titans,player_anytime_td,Chase Brown,Yes,,-159.0,-190.0,-200.0,-152.0,-185.0,-145.0,-140.0,-125.0,-115.0,,0.5329954158108806,1.869565217391304
ballybet,1300.0,0.7443401464323326,Washington Commanders @ New Orleans Saints,player_anytime_td,Mason Tipton,Yes,,1300.0,650.0,350.0,850.0,390.0,650.0,650.0,,,,0.1245957247451666,14.0
hardrockbet,140.0,0.030221626107314936,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Gus Edwards,Yes,,125.0,-125.0,-125.0,-121.0,-125.0,-110.0,130.0,135.0,140.0,,0.4292590108780479,2.4
betmgm,1800.0,1.0391316621019828,Cincinnati Bengals @ Tennessee Titans,player_1st_td,Tyjae Spears,Yes,,700.0,1800.0,,330.0,800.0,750.0,700.0,,,900.0,0.1073227190579991,19.0
hardrockbet,900.0,0.4938548000824281,Washington Commanders @ New Orleans Saints,player_anytime_td,Jamaal Williams,Yes,,500.0,500.0,450.0,330.0,450.0,,410.0,775.0,900.0,,0.1493854800082428,10.0
betmgm,400.0,0.17965089361599795,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Justin Herbert,Yes,,270.0,400.0,220.0,185.0,220.0,200.0,290.0,335.0,350.0,,0.2359301787231996,5.0
betmgm,1000.0,0.4528495150920775,Kansas City Chiefs @ Cleveland Browns,player_anytime_td,Jamari Thrash,Yes,,650.0,1000.0,,450.0,600.0,375.0,,,,,0.1320772286447343,11.0
hardrockbet,140.0,0.015290647802279178,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Rachaad White,Yes,,125.0,-105.0,-111.0,105.0,-105.0,-110.0,100.0,130.0,140.0,,0.4230377699176164,2.4
fanduel,210.0,0.04194077565159926,Baltimore Ravens @ New York Giants,player_tds_over,Derrick Henry,Over,1.5,175.0,180.0,150.0,163.0,,,210.0,,145.0,,0.3361099276295481,3.1
betmgm,600.0,0.2310403809259638,Chicago Bears @ Minnesota Vikings,player_tds_over,Aaron Jones,Over,1.5,380.0,600.0,350.0,,,,,,375.0,,0.175862911560852,7.0
fliff,135.0,0.008758675563412588,Tampa Bay Buccaneers @ Los Angeles Chargers,player_anytime_td,Gus Edwards,Yes,,125.0,-125.0,-125.0,-121.0,-125.0,-110.0,130.0,135.0,140.0,,0.4292590108780479,2.35
