value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
betonlineag,500.0,0.38131423719265345,Chicago Bears @ Minnesota Vikings,player_anytime_td,Travis Homer,Yes,,250.0,140.0,500.0,500.0,165.0,470.0,,,,0.2302190395321089,6.0
draftkings,500.0,0.38131423719265345,Chicago Bears @ Minnesota Vikings,player_anytime_td,Travis Homer,Yes,,250.0,140.0,500.0,500.0,165.0,470.0,,,,0.2302190395321089,6.0
fanduel,470.0,0.3122485253330207,Chicago Bears @ Minnesota Vikings,player_anytime_td,Travis Homer,Yes,,250.0,140.0,500.0,500.0,165.0,470.0,,,,0.2302190395321089,5.7
fanduel,340.0,0.15016254748743796,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Ray-Ray McCloud III,Yes,,220.0,250.0,250.0,250.0,210.0,340.0,200.0,210.0,,0.2614005789744177,4.4
fanduel,1600.0,0.7294839090917629,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Terrace Marshall Jr.,Yes,,850.0,700.0,650.0,650.0,,1600.0,690.0,750.0,,0.1017343475936331,17.0
betmgm,500.0,0.15700435122233192,Atlanta Falcons @ Las Vegas Raiders,player_last_td,Bijan Robinson,Yes,,325.0,500.0,,,350.0,380.0,350.0,325.0,,0.1928340585370553,6.0
hardrockbet,3000.0,1.3549765004233691,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,KhaDarel Hodge,Yes,,900.0,1000.0,800.0,800.0,800.0,1500.0,1510.0,3000.0,,0.0759669838846248,31.0
betmgm,600.0,0.13801691147228912,Chicago Bears @ Minnesota Vikings,player_tds_over,Aaron Jones,Over,1.5,420.0,600.0,400.0,,,550.0,,375.0,,0.1625738444960413,7.0
betmgm,320.0,0.028643103713331564,Atlanta Falcons @ Las Vegas Raiders,player_tds_over,Bijan Robinson,Over,1.5,300.0,320.0,250.0,,,240.0,,240.0,,0.2449150246936503,4.2
fanduel,102.0,0.0067313713489374205,Atlanta Falcons @ Las Vegas Raiders,player_receptions,Brock Bowers,Over,6.5,,,-119.0,-120.0,,102.0,,,,0.4983818670044245,2.02
ballybet,350.0,0.047965573294945996,Chicago Bears @ Minnesota Vikings,player_anytime_td,Rome Odunze,Yes,,350.0,280.0,260.0,260.0,300.0,270.0,255.0,260.0,,0.232881238509988,4.5
fanduel,-106.0,0.0056156796729722736,Atlanta Falcons @ Las Vegas Raiders,player_receptions,Jakobi Meyers,Over,5.5,,-130.0,,-130.0,-115.0,-106.0,-140.0,-125.0,,0.5174527283754129,1.9433962264150944
fanduel,340.0,0.04182494593604824,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Kyle Pitts,Yes,,280.0,225.0,260.0,260.0,260.0,340.0,265.0,275.0,,0.2367783968036473,4.4
fanduel,1100.0,0.29141694816751995,Atlanta Falcons @ Las Vegas Raiders,player_tds_over,Drake London,Over,1.5,800.0,400.0,600.0,,,1100.0,,850.0,,0.10761807901396,12.0
draftkings,1000.0,0.27741722631868637,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Sincere McCormick,Yes,,650.0,600.0,,1000.0,,900.0,540.0,525.0,,0.1161288387562442,11.0
fanduel,800.0,0.20824640833956476,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Ameer Abdullah,Yes,,650.0,400.0,500.0,500.0,500.0,800.0,545.0,575.0,,0.1342496009266183,9.0
fanduel,3000.0,1.0087909201977276,Chicago Bears @ Minnesota Vikings,player_anytime_td,Brandon Powell,Yes,,1200.0,1100.0,1100.0,1200.0,1400.0,3000.0,925.0,1200.0,,0.0647997071031525,31.0
fanduel,3100.0,1.028131681898477,Chicago Bears @ Minnesota Vikings,player_anytime_td,C.J. Ham,Yes,,1500.0,900.0,1100.0,1100.0,,3100.0,1030.0,1400.0,,0.0633791150593274,32.0
fanduel,106.0,0.007121230302218562,Atlanta Falcons @ Las Vegas Raiders,player_receptions,Ray-Ray McCloud III,Over,3.5,-122.0,-120.0,-108.0,-105.0,-105.0,106.0,-125.0,-110.0,,0.4888938011175818,2.06
fanduel,1300.0,0.34640954022426884,Chicago Bears @ Minnesota Vikings,player_anytime_td,Johnny Mundt,Yes,,1000.0,800.0,600.0,600.0,650.0,1300.0,945.0,1200.0,,0.0961721100160192,14.0
betmgm,-175.0,-0.07370770339291666,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Bijan Robinson,Yes,,-200.0,-175.0,-222.0,-190.0,-240.0,-230.0,-210.0,-200.0,,0.5894587342045076,1.5714285714285714
ballybet,400.0,0.040614910949714145,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Alexander Mattison,Yes,,400.0,300.0,290.0,290.0,325.0,350.0,305.0,325.0,,0.2081229821899428,5.0
betmgm,250.0,-0.010764943459214638,Chicago Bears @ Minnesota Vikings,player_anytime_td,T.J. Hockenson,Yes,,215.0,250.0,200.0,220.0,210.0,220.0,190.0,195.0,,0.2826385875830815,3.5
betmgm,1700.0,0.4161015186186807,Chicago Bears @ Minnesota Vikings,player_tds_over,Jordan Addison,Over,1.5,1150.0,1700.0,800.0,,,1000.0,,850.0,,0.0786723065899267,18.0
betmgm,750.0,0.12724887556221853,Chicago Bears @ Minnesota Vikings,player_tds_over,Justin Jefferson,Over,1.5,480.0,750.0,500.0,,,700.0,,500.0,,0.1326175147720257,8.5
hardrockbet,150.0,-0.044990312871256766,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Drake London,Yes,,120.0,125.0,120.0,120.0,120.0,145.0,145.0,150.0,,0.3820038748514973,2.5
fanduel,400.0,0.035518590329525423,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Tre Tucker,Yes,,360.0,325.0,350.0,380.0,325.0,400.0,265.0,275.0,,0.2071037180659051,5.0
ballybet,100.0,0.0005455004842458422,Atlanta Falcons @ Las Vegas Raiders,player_pass_tds,Kirk Cousins,Under,1.5,100.0,-120.0,-116.0,-115.0,-120.0,-114.0,-125.0,-120.0,,0.5002727502421229,2.0
betmgm,1200.0,0.2528180354267304,Chicago Bears @ Minnesota Vikings,player_tds_over,D'Andre Swift,Over,1.5,800.0,1200.0,650.0,,,1200.0,,650.0,,0.0963706181097485,13.0
fanduel,1200.0,0.2528180354267304,Chicago Bears @ Minnesota Vikings,player_tds_over,D'Andre Swift,Over,1.5,800.0,1200.0,650.0,,,1200.0,,650.0,,0.0963706181097485,13.0
ballybet,280.0,-0.0065621476128071565,Chicago Bears @ Minnesota Vikings,player_anytime_td,Keenan Allen,Yes,,280.0,230.0,230.0,230.0,250.0,230.0,215.0,225.0,,0.2614310137861034,3.8
fanduel,550.0,0.05672998922426831,Chicago Bears @ Minnesota Vikings,player_tds_over,Aaron Jones,Over,1.5,420.0,600.0,400.0,,,550.0,,375.0,,0.1625738444960413,6.5
fanduel,-115.0,-0.0683594184258044,Chicago Bears @ Minnesota Vikings,player_anytime_td,Aaron Jones,Yes,,-143.0,-130.0,-125.0,-125.0,-155.0,-115.0,-135.0,-130.0,,0.4983193808420117,1.869565217391304
draftkings,155.0,-0.04852268085578881,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Sincere McCormick,Yes,,123.0,140.0,150.0,155.0,,140.0,120.0,130.0,,0.3731283604487103,2.55
fanduel,1900.0,0.481565019501792,Chicago Bears @ Minnesota Vikings,player_anytime_td,Ty Chandler,Yes,,800.0,1000.0,900.0,900.0,1300.0,1900.0,1080.0,1500.0,,0.0740782509750896,20.0
draftkings,105.0,-0.06334864528787088,Chicago Bears @ Minnesota Vikings,player_anytime_td,Justin Jefferson,Yes,,-134.0,-125.0,100.0,105.0,-115.0,100.0,-105.0,-105.0,,0.4569030998595752,2.05
ballybet,145.0,0.01024465809007602,Chicago Bears @ Minnesota Vikings,player_receptions,Jordan Addison,Under,3.5,145.0,125.0,129.0,125.0,125.0,,120.0,125.0,,0.4123447584041126,2.45
fanduel,150.0,-0.052042318610567184,Chicago Bears @ Minnesota Vikings,player_anytime_td,D'Andre Swift,Yes,,130.0,120.0,130.0,135.0,130.0,150.0,125.0,130.0,,0.3791830725557731,2.5
ballybet,300.0,-0.020339901225398638,Atlanta Falcons @ Las Vegas Raiders,player_tds_over,Bijan Robinson,Over,1.5,300.0,320.0,250.0,,,240.0,,240.0,,0.2449150246936503,4.0
hardrockbet,3000.0,0.7804253812508919,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Dylan Laube,Yes,,2800.0,1400.0,1100.0,1100.0,1100.0,,1490.0,3000.0,,0.0574330768145449,31.0
fanduel,900.0,0.16128838756244213,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Sincere McCormick,Yes,,650.0,600.0,,1000.0,,900.0,540.0,525.0,,0.1161288387562442,10.0
ballybet,140.0,0.005974961415699642,Chicago Bears @ Minnesota Vikings,player_receptions,T.J. Hockenson,Over,4.5,140.0,120.0,122.0,125.0,120.0,,115.0,120.0,,0.4191562339232082,2.4
hardrockbet,1200.0,0.25023743020824973,Chicago Bears @ Minnesota Vikings,player_anytime_td,Johnny Mundt,Yes,,1000.0,800.0,600.0,600.0,650.0,1300.0,945.0,1200.0,,0.0961721100160192,13.0
betonlineag,1400.0,0.273237631933283,Atlanta Falcons @ Las Vegas Raiders,player_tds_over,Bijan Robinson,Over,2.5,1200.0,700.0,1400.0,,,1100.0,,1000.0,,0.0848825087955522,15.0
fanduel,1400.0,0.22909698996655403,Atlanta Falcons @ Las Vegas Raiders,player_tds_over,Brock Bowers,Over,1.5,1200.0,650.0,900.0,,,1400.0,,,,0.0819397993311036,15.0
fanduel,700.0,0.1016373820533849,Chicago Bears @ Minnesota Vikings,player_anytime_td,Jalen Nailor,Yes,,650.0,450.0,500.0,500.0,500.0,700.0,495.0,525.0,,0.1377046727566731,8.0
fanduel,430.0,0.023787418054696308,Chicago Bears @ Minnesota Vikings,player_anytime_td,Caleb Williams,Yes,,400.0,375.0,280.0,285.0,325.0,430.0,380.0,400.0,,0.1931674373688106,5.3
fanduel,1700.0,0.33938525242872974,Atlanta Falcons @ Las Vegas Raiders,player_tds_over,Darnell Mooney,Over,1.5,1200.0,600.0,900.0,,,1700.0,,1300.0,,0.0744102918015961,18.0
fanduel,182.0,0.018947563828460856,Chicago Bears @ Minnesota Vikings,player_pass_tds,Caleb Williams,Over,1.5,170.0,150.0,161.0,155.0,150.0,182.0,145.0,175.0,,0.3613289233434258,2.8200000000000003
ballybet,104.0,-0.010106289667112245,Chicago Bears @ Minnesota Vikings,player_rush_yds,D'Andre Swift,Under,49.5,104.0,,,-110.0,-110.0,-113.0,,,,0.4852420148690626,2.04
ballybet,2800.0,0.6655592276218023,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Dylan Laube,Yes,,2800.0,1400.0,1100.0,1100.0,1100.0,,1490.0,3000.0,,0.0574330768145449,29.0
ballybet,-107.0,-0.011224456367658009,Atlanta Falcons @ Las Vegas Raiders,player_receptions,Ray-Ray McCloud III,Under,3.5,-107.0,-110.0,-120.0,-125.0,-125.0,-138.0,-120.0,-120.0,,0.5111061988824183,1.9345794392523368
betonlineag,-323.0,-0.036178727315444914,Atlanta Falcons @ Las Vegas Raiders,player_sacks,Adam Butler,Under,0.5,,,-323.0,,-400.0,,-415.0,-375.0,,0.7359675439175206,1.3095975232198145
espnbet,-120.0,-0.017511090420191833,Chicago Bears @ Minnesota Vikings,player_rush_attempts,Sam Darnold,Over,3.5,-137.0,-140.0,-130.0,-135.0,-120.0,,-150.0,,,0.5359030415889863,1.8333333333333333
betmgm,400.0,0.00818583341753909,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Bijan Robinson,Yes,,325.0,400.0,,380.0,300.0,280.0,320.0,325.0,400.0,0.2016371666835078,5.0
windcreek,400.0,0.00818583341753909,Atlanta Falcons @ Las Vegas Raiders,player_1st_td,Bijan Robinson,Yes,,325.0,400.0,,380.0,300.0,280.0,320.0,325.0,400.0,0.2016371666835078,5.0
fanduel,230.0,-0.03776323465298781,Atlanta Falcons @ Las Vegas Raiders,player_anytime_td,Tyler Allgeier,Yes,,188.0,210.0,180.0,180.0,185.0,230.0,215.0,220.0,,0.2915868985900037,3.3
