value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
ballybet,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points,Karl-Anthony Towns,Under,24.5,135.0,-105.0,,-105.0,,,,-110.0,100.0,0.4590672760727822,2.35,0.07880809877103823
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_double_double,Josh Giddey,Yes,,750.0,425.0,,360.0,400.0,360.0,400.0,415.0,400.0,0.1707932881386225,8.5,0.45174294917829116
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_assists,Anthony Edwards,Over,4.5,170.0,120.0,124.0,125.0,126.0,120.0,,110.0,115.0,0.4137052933759892,2.7,0.11700429211517105
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_assists,James Harden,Over,8.5,148.0,110.0,113.0,115.0,,,,105.0,105.0,0.4317798747523953,2.48,0.07081408938594036
bovada,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points_rebounds,Kris Dunn,Under,9.5,,-125.0,,105.0,,-125.0,,-130.0,-125.0,0.5045423391775801,2.05,0.03431179531403905
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_double_double,James Harden,Yes,,205.0,160.0,,125.0,155.0,160.0,150.0,160.0,155.0,0.3460497014753549,3.05,0.05545158949983242
ballybet,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_points,Jaylen Wells,Over,10.5,110.0,-120.0,,-115.0,,,,-125.0,-115.0,0.4924833230164777,2.1,0.034214978334603185
fanduel,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_steals,Jayson Tatum,Under,1.5,-195.0,-175.0,,,,-185.0,-140.0,-185.0,-175.0,0.5916542133296444,1.7142857142857144,0.014264365707962079
fanduel,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_rebounds_assists,Zach LaVine,Under,8.5,,-135.0,,-135.0,-135.0,-130.0,-104.0,-140.0,-130.0,0.5273098445748152,1.9615384615384617,0.03433854128136837
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_assists,Jrue Holiday,Under,3.5,155.0,120.0,125.0,125.0,,120.0,,115.0,115.0,0.4146198284890038,2.55,0.05728056264695969
bovada,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_rebounds,Brandon Clarke,Over,6.5,108.0,115.0,132.0,145.0,,120.0,,100.0,105.0,0.4290740976124192,2.45,0.05123153915042733
ballybet,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points,Tidjane Salaun,Under,10.5,107.0,-120.0,-105.0,-120.0,-120.0,-120.0,,-125.0,-120.0,0.4990506726658754,2.0700000000000003,0.033034892418362105
fanduel,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_double_double,Anthony Davis,Yes,,-835.0,-650.0,,-500.0,-650.0,-600.0,-420.0,-680.0,-650.0,0.7627929784973665,1.238095238095238,-0.0555896456699273
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points_rebounds_assists,James Harden,Over,36.5,105.0,-120.0,-116.0,-120.0,,-120.0,-118.0,-125.0,-120.0,0.5025244925519031,2.05,0.03017520973140142
ballybet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_points,Rui Hachimura,Over,10.5,123.0,100.0,-101.0,100.0,100.0,-105.0,,-110.0,100.0,0.4649841563233992,2.23,0.03691466860118009
fanduel,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_blocks,Anthony Davis,Over,1.5,-186.0,-175.0,,,-182.0,-180.0,-142.0,-185.0,-175.0,0.5917950309860579,1.704225352112676,0.0085520950607465
bovada,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_points_rebounds_assists,Ayo Dosunmu,Over,20.5,-120.0,-130.0,-115.0,100.0,-125.0,-125.0,,-135.0,-130.0,0.5116693472521938,2.0,0.023338694504387636
fanduel,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_steals,Jalen Williams,Over,1.5,-180.0,-160.0,,,,-165.0,-132.0,-170.0,-160.0,0.5710497326962943,1.7575757575757576,0.0036631665571233984
ballybet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_assists,Shai Gilgeous-Alexander,Under,5.5,143.0,115.0,119.0,115.0,,115.0,,110.0,110.0,0.4288396584385355,2.43,0.042080370005641354
betonlineag,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_rebounds,Josh Green,Over,3.5,-141.0,-130.0,-103.0,,-120.0,-125.0,-114.0,-140.0,-135.0,0.5187890417313422,1.970873786407767,0.022467723023907427
betonlineag,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points_rebounds_assists,Derrick Jones,Over,12.5,,-120.0,103.0,,,-120.0,,-125.0,-120.0,0.5006145861482815,2.03,0.01624760988101137
bovada,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_threes,Shai Gilgeous-Alexander,Over,1.5,-210.0,-155.0,-169.0,-145.0,-188.0,-190.0,-162.0,-200.0,-195.0,0.5964025424812249,1.6896551724137931,0.007714640744138634
espnbet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_first_basket,Shai Gilgeous-Alexander,Yes,,,,,425.0,300.0,600.0,410.0,,575.0,0.1633759590792838,7.0,0.1436317135549865
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_rebounds,Kris Dunn,Under,2.5,140.0,115.0,115.0,,,115.0,,110.0,110.0,0.428680048926514,2.4,0.028832117423633674
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points,Naz Reid,Under,11.5,107.0,-125.0,-101.0,-115.0,-105.0,-110.0,,-130.0,-125.0,0.4940415166665554,2.0700000000000003,0.022665939499769694
bovada,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_assists,Dejounte Murray,Under,4.5,116.0,110.0,124.0,140.0,120.0,110.0,,105.0,110.0,0.4301351628427285,2.4,0.03232439082254834
bovada,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points_rebounds_assists,Rudy Gobert,Under,22.5,,-125.0,-111.0,100.0,,-125.0,,-130.0,-125.0,0.5055549655814952,2.0,0.011109931162990305
draftkings,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_first_basket,Jaren Jackson Jr,Yes,,,,,390.0,550.0,400.0,390.0,,375.0,0.1719599969621839,6.5,0.11773998025419552
draftkings,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_steals,Jaden McDaniels,Over,0.5,-265.0,-250.0,,,-198.0,-250.0,,-250.0,-240.0,0.6522294787920134,1.5050505050505052,-0.01836169353525241
bovada,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_assists,Josh Hart,Over,5.5,-141.0,,-115.0,100.0,-135.0,-110.0,-110.0,-125.0,-125.0,0.5087303092813176,2.0,0.017460618562635144
draftkings,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points_rebounds_assists,OG Anunoby,Under,25.5,,-130.0,-122.0,-130.0,-105.0,-125.0,,-135.0,-130.0,0.517046690128007,1.9523809523809523,0.00947210929753739
ballybet,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_double_double,Brandon Ingram,Yes,,800.0,600.0,,420.0,600.0,500.0,470.0,560.0,575.0,0.1365597689901445,9.0,0.22903792091130049
espnbet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_rebounds_assists,Ivica Zubac,Under,12.5,,-120.0,,,,100.0,,-125.0,-120.0,0.4985544565112751,2.0,-0.002891086977449775
ballybet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_assists,LeBron James,Over,9.5,123.0,-105.0,104.0,105.0,110.0,-105.0,116.0,-110.0,-105.0,0.4586914757336938,2.23,0.02288199088613707
ballybet,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_assists,Josh Hart,Under,5.5,107.0,,-112.0,-130.0,105.0,-120.0,-110.0,-115.0,-115.0,0.4912696907186825,2.0700000000000003,0.016928259787673094
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_threes,Anthony Edwards,Under,3.5,148.0,125.0,122.0,120.0,,120.0,130.0,115.0,120.0,0.4148021390235556,2.48,0.028709304778418043
bovada,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points_rebounds_assists,Mike Conley,Over,18.5,,-105.0,115.0,120.0,,110.0,,-115.0,-110.0,0.4612348668542128,2.2,0.014716707079268199
bovada,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_points,Brandon Clarke,Over,8.5,102.0,-105.0,112.0,120.0,,105.0,,-115.0,-105.0,0.4604434872609572,2.2,0.012975671974105873
betonlineag,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_assists,Tidjane Salaun,Over,2.5,,,117.0,,,100.0,,-105.0,-105.0,0.4603439214817819,2.17,-0.0010536903845334011
hardrockbet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_first_basket,Shai Gilgeous-Alexander,Yes,,,,,425.0,300.0,600.0,410.0,,575.0,0.1633759590792838,6.75,0.10278772378516554
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_steals,Ayo Dosunmu,Under,0.5,125.0,105.0,,,,105.0,,100.0,105.0,0.4440846941591389,2.25,-0.0008094381419374574
ballybet,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points_rebounds_assists,Jalen Brunson,Under,35.5,105.0,,-108.0,-115.0,,-115.0,,-120.0,-115.0,0.4896286100751645,2.05,0.0037386506540871833
ballybet,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_rebounds,Derrick Jones,Under,2.5,128.0,115.0,108.0,,,115.0,,-105.0,100.0,0.4430545878377646,2.28,0.010164460270103204
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_rebounds,Josh Giddey,Over,6.5,140.0,115.0,128.0,120.0,,115.0,,110.0,110.0,0.4249495413597071,2.4,0.019878899263297
ballybet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_threes,Shai Gilgeous-Alexander,Under,1.5,155.0,120.0,129.0,110.0,145.0,135.0,126.0,130.0,135.0,0.4035974575187751,2.55,0.02917351667287671
betmgm,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points_rebounds_assists,Josh Green,Over,16.5,,100.0,-116.0,-120.0,,-120.0,,-125.0,-120.0,0.5009096348023557,2.0,0.0018192696047114598
fanduel,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_double_double,Karl-Anthony Towns,Yes,,-420.0,-350.0,,-300.0,-320.0,-350.0,-270.0,-345.0,-350.0,0.6825969331800278,1.3703703703703702,-0.06458938786440649
fanduel,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_assists,Jalen Brunson,Over,7.5,-148.0,-150.0,-130.0,-130.0,-135.0,-130.0,-115.0,-145.0,-140.0,0.536994269383358,1.869565217391304,0.003945807977582261
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_points_rebounds_assists,Josh Giddey,Over,23.5,100.0,-120.0,-118.0,-120.0,-115.0,-120.0,-115.0,-130.0,-120.0,0.503819265335671,2.0,0.007638530671342014
bovada,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points_rebounds,Josh Green,Over,14.5,,-110.0,,105.0,,-110.0,,-120.0,-115.0,0.484979970803875,2.05,-0.005791059852056191
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_rebounds,Jaylen Brown,Under,5.5,132.0,110.0,113.0,115.0,,110.0,,105.0,110.0,0.4367008688338375,2.3200000000000003,0.013146015694503133
draftkings,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_first_basket,Austin Reaves,Yes,,,,,800.0,1200.0,750.0,800.0,,600.0,0.0992897511841799,13.0,0.29076676539433877
ballybet,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_double_double,Jalen Williams,Yes,,700.0,525.0,,450.0,600.0,425.0,470.0,510.0,500.0,0.1449570482343846,8.0,0.1596563858750768
bovada,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_rebounds,OG Anunoby,Over,5.5,112.0,,120.0,130.0,115.0,120.0,114.0,-110.0,-105.0,0.4409915544639147,2.3,0.014280575267003659
betmgm,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_rebounds,Karl-Anthony Towns,Under,11.5,100.0,115.0,-103.0,100.0,-115.0,100.0,100.0,-105.0,-105.0,0.4697129001120569,2.15,0.009882735240922425
ballybet,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_threes,Derrick White,Under,2.5,155.0,130.0,134.0,135.0,,125.0,,125.0,130.0,0.3988139147969835,2.55,0.016975482732307867
draftkings,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_assists,Josh Hart,Under,5.5,107.0,,-112.0,-130.0,105.0,-120.0,-110.0,-115.0,-115.0,0.4912696907186825,2.05,0.007102865973299122
fanduel,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_rebounds,Dejounte Murray,Under,3.5,114.0,100.0,118.0,,100.0,100.0,124.0,100.0,100.0,0.4514108863200775,2.24,0.011160385356973723
fanduel,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_rebounds,Luguentz Dort,Over,4.5,-121.0,-110.0,-109.0,,-120.0,-110.0,104.0,-115.0,-115.0,0.4918175303638729,2.04,0.0033077619423007576
fanduel,363cc300fd430fdf4510ff652bc54ef7,Oklahoma City Thunder @ Los Angeles Lakers,player_first_basket,Anthony Davis,Yes,,,,,500.0,500.0,360.0,550.0,,325.0,0.1662977268491988,6.5,0.08093522451979229
ballybet,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_double_double,Jaren Jackson Jr,Yes,,700.0,525.0,,475.0,550.0,450.0,500.0,490.0,500.0,0.144117705037295,8.0,0.1529416402983601
bovada,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_assists,Brandon Ingram,Over,5.5,112.0,100.0,115.0,125.0,100.0,105.0,124.0,-105.0,-105.0,0.4485793952966685,2.25,0.009303639417504117
bovada,9d0591b5528cb94518423d0b98163127,Orlando Magic @ Brooklyn Nets,player_points_rebounds_assists,Jalen Suggs,Over,24.5,108.0,-110.0,-102.0,110.0,-110.0,-110.0,-113.0,-115.0,-110.0,0.4795122615727754,2.1,0.006975749302828516
ballybet,75b64ab4b7b899475e75f3c3fed6e6d6,New York Knicks @ Charlotte Hornets,player_points,Jalen Brunson,Under,24.5,100.0,,,-120.0,,-120.0,,-130.0,-105.0,0.4962934093283183,2.0,-0.00741318134336344
ballybet,9d0591b5528cb94518423d0b98163127,Orlando Magic @ Brooklyn Nets,player_double_double,Franz Wagner,Yes,,525.0,450.0,,330.0,400.0,380.0,360.0,445.0,425.0,0.1745259509848181,6.25,0.09078719365511323
fanduel,97daad0d675ac67ead333551dac221e7,Boston Celtics @ Chicago Bulls,player_points,Zach LaVine,Over,21.5,-110.0,-120.0,-114.0,-120.0,,-120.0,100.0,-125.0,-120.0,0.5006356773981814,2.0,0.0012713547963627558
draftkings,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_rebounds,James Harden,Over,5.5,-114.0,-120.0,-115.0,-115.0,105.0,-110.0,-113.0,-110.0,-105.0,0.4893061575852104,2.05,0.0030776230496811774
ballybet,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_threes,C.J. McCollum,Over,3.5,112.0,-110.0,102.0,100.0,-110.0,-110.0,112.0,-115.0,-115.0,0.4740892973127106,2.12,0.005069310302946439
fanduel,057e5aae2a26f423eaf44d3e6bcab7eb,New Orleans Pelicans @ Memphis Grizzlies,player_threes,C.J. McCollum,Over,3.5,112.0,-110.0,102.0,100.0,-110.0,-110.0,112.0,-115.0,-115.0,0.4740892973127106,2.12,0.005069310302946439
betonlineag,505781b2259d8ce45cba4e34aecf5d26,Los Angeles Clippers @ Minnesota Timberwolves,player_points,Rudy Gobert,Under,9.5,-121.0,-130.0,-103.0,-115.0,-110.0,-125.0,-113.0,-135.0,-125.0,0.5073957335250684,1.970873786407767,1.2950539697964558e-05
