value_book,value_book_price,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
bovada,115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Nickeil Alexander-Walker,Under,13.5,,-120.0,101.0,115.0,,-110.0,,-125.0,-120.0,0.4865892619939294,2.15,0.04616691328694822
ballybet,450.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,Julius Randle,Yes,,450.0,320.0,,300.0,340.0,280.0,330.0,315.0,300.0,0.2091890653015421,5.5,0.15053985915848167
hardrockbet,700.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Trae Young,Yes,,400.0,,,400.0,500.0,,460.0,,700.0,0.1532286725028936,8.0,0.22582938002314878
fanduel,110.0,New Orleans Pelicans @ Atlanta Hawks,player_steals,Dejounte Murray,Over,1.5,-112.0,-115.0,,,,,110.0,-120.0,-115.0,0.4882901963599814,2.1,0.025409412355960947
ballybet,110.0,Brooklyn Nets @ Chicago Bulls,player_points,Cameron Johnson,Over,21.5,110.0,-115.0,-111.0,-115.0,-105.0,-115.0,,-125.0,-115.0,0.490200089726731,2.1,0.02942018842613514
bovada,-150.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nikola Vucevic,Yes,,-215.0,-190.0,,-150.0,-200.0,-190.0,-155.0,-195.0,-200.0,0.5780108385590605,1.6666666666666663,-0.03664860240156598
fanduel,106.0,New Orleans Pelicans @ Atlanta Hawks,player_rebounds_assists,Dyson Daniels,Under,7.5,,-110.0,,-115.0,-120.0,,106.0,-125.0,-120.0,0.4961371161869436,2.06,0.02204245934510385
ballybet,175.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Mike Conley,Over,2.5,175.0,145.0,144.0,150.0,130.0,135.0,,130.0,140.0,0.3833431027890402,2.75,0.0541935326698606
ballybet,230.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Clint Capela,Yes,,230.0,180.0,,170.0,195.0,,185.0,175.0,175.0,0.308820713734716,3.3,0.019108355324562787
ballybet,-195.0,New Orleans Pelicans @ Atlanta Hawks,player_threes,Dyson Daniels,Under,1.5,-195.0,-250.0,-250.0,-260.0,-240.0,,,-255.0,-250.0,0.6587808289242657,1.5128205128205128,-0.0033828485504698858
ballybet,510.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Josh Giddey,Yes,,510.0,400.0,,330.0,350.0,340.0,340.0,395.0,375.0,0.1870804843747201,6.1,0.14119095468579257
fanduel,-290.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,Anthony Davis,Yes,,-500.0,-375.0,,-300.0,-450.0,-375.0,-290.0,-385.0,-400.0,0.7014224456385676,1.3448275862068966,-0.056707745520547026
ballybet,135.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Anthony Edwards,Under,3.5,135.0,110.0,111.0,110.0,,110.0,116.0,105.0,105.0,0.4389090240571359,2.35,0.031436206534269484
ballybet,575.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Dejounte Murray,Yes,,575.0,475.0,,300.0,500.0,,300.0,470.0,450.0,0.1697475726445473,6.75,0.14579611535069414
bovada,105.0,Miami Heat @ Boston Celtics,player_points,Jayson Tatum,Over,29.5,-118.0,-125.0,-102.0,105.0,-110.0,-115.0,-113.0,-130.0,-125.0,0.4986800485401647,2.05,0.022294099507337517
fanduel,-140.0,Brooklyn Nets @ Chicago Bulls,player_threes,Coby White,Over,2.5,-157.0,-175.0,-169.0,-180.0,-175.0,-170.0,-140.0,-185.0,-175.0,0.5856754601408526,1.7142857142857144,0.004015074527175866
fanduel,-111.0,New Orleans Pelicans @ Atlanta Hawks,player_rebounds_assists,Dejounte Murray,Under,11.5,,-125.0,,-135.0,-135.0,,-111.0,-145.0,-140.0,0.530730010888948,1.900900900900901,0.008865155833946314
ballybet,138.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,Julius Randle,Over,4.5,138.0,115.0,117.0,120.0,110.0,115.0,,105.0,115.0,0.4301536189676684,2.38,0.023765613143050812
fanduel,-170.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,LeBron James,Yes,,-220.0,-200.0,,-250.0,-190.0,-200.0,-170.0,-205.0,-210.0,0.596040251164024,1.5882352941176472,-0.05334783638654994
fanduel,-155.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nikola Vucevic,Yes,,-215.0,-190.0,,-150.0,-200.0,-190.0,-155.0,-195.0,-200.0,0.5780108385590605,1.6451612903225803,-0.04907894301573934
fanduel,-104.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Mike Conley,Over,10.5,-108.0,-135.0,-120.0,-120.0,,-130.0,-104.0,-140.0,-130.0,0.5147298767510606,1.9615384615384617,0.009662450550157464
bovada,110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Naz Reid,Under,10.5,,-110.0,,110.0,,100.0,,-120.0,-110.0,0.4780835113540892,2.1,0.003975373843587482
betonlineag,110.0,New Orleans Pelicans @ Atlanta Hawks,player_points,Trae Young,Over,21.5,-108.0,-110.0,110.0,-105.0,-115.0,,-104.0,-115.0,-110.0,0.4828095057070641,2.1,0.013899961984834563
betonlineag,-103.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Jalen Wilson,Over,21.5,,-125.0,-103.0,-115.0,,-125.0,,-130.0,-125.0,0.5095446763074931,1.970873786407767,0.004248245538069018
bovada,100.0,New Orleans Pelicans @ Atlanta Hawks,player_points,Jalen Johnson,Under,19.5,-113.0,-130.0,-110.0,100.0,-120.0,,-115.0,-130.0,-125.0,0.5042950182505404,2.0,0.0085900365010807
bovada,-300.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,Anthony Davis,Yes,,-500.0,-375.0,,-300.0,-450.0,-375.0,-290.0,-385.0,-400.0,0.7014224456385676,1.3333333333333333,-0.06477007248190991
fanduel,102.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Dyson Daniels,Under,2.5,-109.0,-120.0,-112.0,,-115.0,,102.0,-125.0,-120.0,0.4957623419317786,2.02,0.0014399307021928376
fanduel,150.0,Los Angeles Lakers @ Minnesota Timberwolves,player_steals,Mike Conley,Over,1.5,130.0,125.0,,,,125.0,150.0,120.0,130.0,0.4050422935297216,2.5,0.012605733824303966
fanduel,-220.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Trae Young,Yes,,-286.0,-250.0,,-250.0,-295.0,,-220.0,-270.0,-275.0,0.640631290645761,1.4545454545454546,-0.06817266815162037
ballybet,104.0,Miami Heat @ Boston Celtics,player_double_double,Jayson Tatum,Yes,,104.0,,,,-110.0,-110.0,-115.0,-115.0,-120.0,0.4662100598696448,2.04,-0.048931477865924444
fanduel,100.0,Brooklyn Nets @ Chicago Bulls,player_threes,Nikola Vucevic,Over,1.5,-103.0,-120.0,-114.0,-120.0,-125.0,-120.0,100.0,-125.0,-120.0,0.5004739973358476,2.0,0.0009479946716952625
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,LeBron James,Over,9.5,-150.0,-140.0,-127.0,-130.0,-115.0,-135.0,-120.0,-145.0,-145.0,0.5326845759482948,1.869565217391304,-0.004111444966231725
betonlineag,-103.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Nicolas Claxton,Over,26.5,,-125.0,-103.0,-125.0,-105.0,-125.0,-113.0,-135.0,-125.0,0.5076649227035198,1.970873786407767,0.000543488435092554
bovada,105.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds,Dyson Daniels,Under,16.5,,-115.0,,105.0,-105.0,,-102.0,-120.0,-120.0,0.4858408513764121,2.05,-0.004026254678355268
betonlineag,-103.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,De'Andre Hunter,Under,19.5,,-120.0,-103.0,-120.0,,,,-125.0,-120.0,0.5034371981745027,1.970873786407767,-0.007788823015300483
betonlineag,-103.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Under,4.5,-134.0,-105.0,-103.0,-115.0,-115.0,,-122.0,-130.0,-130.0,0.5062700536484674,1.970873786407767,-0.0022056224209816566
ballybet,155.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds,Mike Conley,Over,3.5,155.0,135.0,,,,130.0,,130.0,130.0,0.3928709356627286,2.55,0.0018208859399579946
draftkings,-168.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Mike Conley,Under,2.5,-240.0,-190.0,-189.0,-200.0,-168.0,-190.0,,-200.0,-200.0,0.6166568972109598,1.5952380952380951,-0.01628542587775461
fanduel,-104.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds,Jaden McDaniels,Under,13.5,,-125.0,,-105.0,-120.0,-120.0,-104.0,-135.0,-130.0,0.5062225246801892,1.9615384615384617,-0.007025047742705626
ballybet,110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Jaden McDaniels,Under,9.5,110.0,-105.0,-106.0,-110.0,100.0,-105.0,,-115.0,-105.0,0.4758187497483145,2.1,-0.0007806255285394137
bovada,110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Anthony Davis,Under,25.5,-106.0,-105.0,,110.0,,,,-110.0,-105.0,0.4730665978225845,2.1,-0.00656014457257259
bovada,110.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nicolas Claxton,Yes,,108.0,-115.0,,110.0,100.0,-110.0,105.0,-115.0,-120.0,0.4551144301439181,2.1,-0.044259696697771966
fanduel,-102.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,Dyson Daniels,Under,19.5,-112.0,-120.0,-119.0,-120.0,-115.0,,-102.0,-130.0,-120.0,0.5028203861502858,1.9803921568627447,-0.004218450957277353
ballybet,102.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Over,4.5,102.0,-125.0,-125.0,-115.0,-115.0,,-104.0,-110.0,-110.0,0.4937299463515326,2.02,-0.0026655083699040905
draftkings,950.0,Brooklyn Nets @ Chicago Bulls,player_first_basket,Jalen Wilson,Yes,,800.0,,,750.0,950.0,550.0,750.0,,500.0,0.1123444895423795,10.5,0.17961714019498465
ballybet,102.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Mike Conley,Over,19.5,102.0,-115.0,-111.0,-110.0,-120.0,-115.0,-104.0,-125.0,-115.0,0.4936400847083668,2.02,-0.002847028889099046
ballybet,125.0,Miami Heat @ Boston Celtics,player_rebounds,Jayson Tatum,Over,9.5,125.0,105.0,112.0,115.0,,,,100.0,105.0,0.4434626648983444,2.25,-0.0022090039787250326
ballybet,107.0,Brooklyn Nets @ Chicago Bulls,player_points,Zach LaVine,Under,22.5,107.0,-110.0,-108.0,-110.0,,-105.0,-104.0,-115.0,-110.0,0.4819120198685959,2.0700000000000003,-0.0024421188720062936
bovada,-105.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds,Jaden McDaniels,Under,13.5,,-125.0,,-105.0,-120.0,-120.0,-104.0,-135.0,-130.0,0.5062225246801892,1.9523809523809523,-0.011660785148202013
draftkings,100.0,Los Angeles Lakers @ Minnesota Timberwolves,player_rebounds,Donte DiVincenzo,Under,2.5,,-115.0,-110.0,,100.0,-115.0,,-125.0,-115.0,0.4926644549676872,2.0,-0.014671090064625525
ballybet,130.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,LeBron James,Under,1.5,130.0,110.0,113.0,110.0,115.0,120.0,120.0,105.0,105.0,0.4363098892797175,2.3,0.003512745343350221
bovada,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Nickeil Alexander-Walker,Under,8.5,,-135.0,-123.0,-115.0,,-130.0,,-145.0,-135.0,0.5257491333641007,1.869565217391304,-0.017077707188855484
ballybet,-108.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Mike Conley,Over,10.5,-108.0,-135.0,-120.0,-120.0,,-130.0,-104.0,-140.0,-130.0,0.5147298767510606,1.925925925925926,-0.008668385516475752
ballybet,-113.0,Brooklyn Nets @ Chicago Bulls,player_rebounds,Ayo Dosunmu,Under,3.5,-113.0,-135.0,-127.0,,-125.0,-130.0,-120.0,-140.0,-140.0,0.5232589969794121,1.8849557522123892,-0.01367994374677195
draftkings,1000.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Zaccharie Risacher,Yes,,800.0,,,750.0,1000.0,,750.0,,525.0,0.105986637079074,11.0,0.16585300786981416
ballybet,100.0,Brooklyn Nets @ Chicago Bulls,player_points,Dennis Schroder,Over,22.5,100.0,-115.0,-112.0,-115.0,,,,-120.0,-115.0,0.4930754943073572,2.0,-0.013849011385285603
ballybet,-112.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Donte DiVincenzo,Under,9.5,-112.0,-135.0,-127.0,-135.0,-120.0,-130.0,-115.0,-140.0,-135.0,0.5227864794693596,1.8928571428571428,-0.010439878147283532
