value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
ballybet,128.0,0.062140744417813476,Utah Jazz @ Los Angeles Clippers,player_steals,Ivica Zubac,Under,0.5,128.0,-105.0,,,-110.0,,-110.0,-105.0,0.4658512036920235,2.28
ballybet,133.0,0.0661335049823788,Philadelphia 76ers @ Charlotte Hornets,player_points,Andre Drummond,Under,9.5,133.0,100.0,-105.0,,100.0,,-105.0,100.0,0.4575680278894329,2.33
fanduel,-160.0,-0.02106286474333141,Miami Heat @ Detroit Pistons,player_double_double,Bam Adebayo,Yes,,-200.0,-210.0,,-270.0,-180.0,-160.0,-215.0,-220.0,0.6024228524656422,1.625
ballybet,123.0,0.0441420909335668,Chicago Bulls @ Toronto Raptors,player_points_rebounds_assists,Nikola Vucevic,Under,31.5,123.0,-105.0,-110.0,,,,-110.0,-105.0,0.4682251528850075,2.23
ballybet,225.0,0.05277640492206093,Chicago Bulls @ Toronto Raptors,player_double_double,R.J. Barrett,Yes,,225.0,175.0,,175.0,165.0,160.0,165.0,165.0,0.3239312015144803,3.25
betonlineag,110.0,0.026761283077745945,Miami Heat @ Detroit Pistons,player_points_rebounds_assists,Jalen Duren,Under,20.5,,-105.0,110.0,,,,-130.0,-115.0,0.4889339443227362,2.1
ballybet,116.0,0.03819113705434174,Denver Nuggets @ Sacramento Kings,player_threes,Michael Porter Jr,Over,2.5,116.0,-110.0,-110.0,-110.0,-110.0,100.0,-115.0,-115.0,0.4806440449325656,2.16
betonlineag,115.0,0.03932156715465562,Utah Jazz @ Los Angeles Clippers,player_points,Lauri Markkanen,Over,19.5,-112.0,-110.0,115.0,-115.0,-110.0,-104.0,-115.0,-110.0,0.4834053800719329,2.15
draftkings,-125.0,-0.0022540571638923756,Miami Heat @ Detroit Pistons,player_turnovers,Tyler Herro,Under,2.5,,-155.0,,-125.0,-160.0,,-165.0,,0.5543033015756154,1.8
fanduel,-102.0,0.02947222868742605,Utah Jazz @ Los Angeles Clippers,player_rebounds,Keyonte George,Under,2.5,-115.0,-135.0,-122.0,-130.0,-125.0,-102.0,-140.0,-140.0,0.5198325115154331,1.9803921568627447
ballybet,1000.0,0.3786128877259476,Denver Nuggets @ Sacramento Kings,player_double_double,Jamal Murray,Yes,,1000.0,,,600.0,475.0,550.0,570.0,575.0,0.1253284443387225,11.0
ballybet,117.0,0.03599588719628333,Chicago Bulls @ Toronto Raptors,player_rebounds,Zach LaVine,Under,3.5,117.0,-110.0,-106.0,-105.0,-110.0,104.0,-115.0,-115.0,0.4774174595374578,2.17
ballybet,112.0,0.032820843612950235,Chicago Bulls @ Toronto Raptors,player_points,Nikola Vucevic,Under,18.5,112.0,-110.0,-112.0,-105.0,-115.0,,-120.0,-115.0,0.4871796432136557,2.12
ballybet,290.0,0.06145133732120556,Miami Heat @ Detroit Pistons,player_double_double,Jalen Duren,Yes,,290.0,210.0,,250.0,230.0,210.0,210.0,200.0,0.2721670095695399,3.9
ballybet,116.0,0.017311698958195065,Miami Heat @ Detroit Pistons,player_blocks_steals,Jalen Duren,Over,1.5,116.0,-105.0,,,-110.0,,-115.0,-105.0,0.4709776384065717,2.16
fanduel,-185.0,-0.04332423575885325,Chicago Bulls @ Toronto Raptors,player_double_double,Jakob Poeltl,Yes,,-278.0,-250.0,,-210.0,-225.0,-185.0,-240.0,-240.0,0.6210000574898672,1.5405405405405406
espnbet,-115.0,0.005473953953845756,Philadelphia 76ers @ Charlotte Hornets,player_rebounds_assists,Guerschon Yabusele,Under,7.5,,-150.0,,,-115.0,,-155.0,-145.0,0.5378116497892664,1.869565217391304
ballybet,114.0,0.02588209803070174,Chicago Bulls @ Toronto Raptors,player_points_rebounds_assists,Ayo Dosunmu,Over,23.5,114.0,-110.0,-101.0,-105.0,,,-115.0,-110.0,0.4793841579582718,2.14
betonlineag,106.0,0.012971033547839683,Utah Jazz @ Los Angeles Clippers,player_points_rebounds_assists,Ivica Zubac,Under,27.5,,-120.0,106.0,,,,-125.0,-120.0,0.4917335114309901,2.06
