value_book,value_book_price,EV,game,market,name,description,point,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
espnbet,275.0,0.1912817420692121,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_assists_alternate,Khris Middleton,Over,9.5,,-128.0,,,275.0,230.0,,,0.3176751312184566,3.75
espnbet,210.0,0.1245221557952585,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_assists_alternate,Giannis Antetokounmpo,Over,19.5,,-101.0,,,210.0,152.0,,,0.3627490825145995,3.1
espnbet,225.0,0.12027552820739884,Milwaukee Bucks @ Oklahoma City Thunder,player_assists_alternate,Brook Lopez,Over,1.5,,,,-115.0,225.0,180.0,,,0.3447001625253535,3.25
fanduel,-104.0,0.0020280669451080424,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_assists_alternate,Damian Lillard,Over,11.5,,-250.0,,,-125.0,-104.0,,,0.5108378380504472,1.9615384615384617
bovada,-175.0,-0.0167916345526965,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Damian Lillard,Over,19.5,-275.0,,-175.0,-280.0,,-210.0,,-300.0,0.6256780507391931,1.5714285714285714
bovada,-135.0,0.0058610843218771524,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Luguentz Dort,Over,9.5,-200.0,-250.0,-135.0,-185.0,-170.0,-140.0,,-190.0,0.5778350909934188,1.7407407407407407
espnbet,260.0,0.12137850073537959,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_alternate,Bobby Portis,Over,9.5,210.0,169.0,135.0,200.0,260.0,174.0,,,0.3114940279820499,3.6
bovada,-475.0,-0.05839850462276097,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Damian Lillard,Over,14.5,-1200.0,,-475.0,,,-600.0,,-950.0,0.7778447135725018,1.2105263157894737
fanduel,-290.0,-0.03460493911000351,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Giannis Antetokounmpo,Over,24.5,-500.0,,-320.0,-425.0,,-290.0,,-550.0,0.7178578657899973,1.3448275862068966
fanduel,-140.0,-0.009425558296996317,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Luguentz Dort,Over,9.5,-200.0,-250.0,-135.0,-185.0,-170.0,-140.0,,-190.0,0.5778350909934188,1.7142857142857144
bovada,-275.0,-0.04272559409278176,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_alternate,Giannis Antetokounmpo,Over,9.5,-550.0,,-275.0,-425.0,-350.0,-320.0,,,0.7020012309986265,1.3636363636363638
fanduel,-220.0,-0.030671470083654007,Milwaukee Bucks @ Oklahoma City Thunder,player_assists_alternate,Damian Lillard,Over,5.5,,-323.0,-300.0,-310.0,-310.0,-220.0,,-300.0,0.6664133643174879,1.4545454545454546
fanduel,230.0,0.048327933020906766,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_assists_alternate,Khris Middleton,Over,9.5,,-128.0,,,275.0,230.0,,,0.3176751312184566,3.3
bovada,150.0,0.03077587904247392,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Damian Lillard,Over,24.5,110.0,,150.0,105.0,110.0,125.0,,105.0,0.4123103516169896,2.5
fanduel,-380.0,-0.049095717287937046,Milwaukee Bucks @ Oklahoma City Thunder,player_points_alternate,Shai Gilgeous-Alexander,Over,24.5,-800.0,,-400.0,-575.0,,-380.0,,-600.0,0.7527992238137166,1.263157894736842
fanduel,145.0,0.01901482251126263,Milwaukee Bucks @ Oklahoma City Thunder,player_assists_alternate,Damian Lillard,Over,7.5,,112.0,105.0,115.0,100.0,145.0,,115.0,0.4159244173515357,2.45
espnbet,300.0,0.08853940165875329,Milwaukee Bucks @ Oklahoma City Thunder,player_rebounds_alternate,Giannis Antetokounmpo,Over,14.5,200.0,184.0,,235.0,300.0,225.0,,,0.2721348504146883,4.0
