value_book,value_book_price,EV,game,market,name,description,point,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-190.0,-0.04197293437170069,Philadelphia 76ers @ Orlando Magic,player_points_alternate,Tristan da Silva,Over,9.5,,,-245.0,,-190.0,,-250.0,0.6276729050668168,1.526315789473684
fanduel,240.0,0.07832112623180143,Sacramento Kings @ Chicago Bulls,player_assists_alternate,Malik Monk,Over,7.5,157.0,,160.0,,240.0,,175.0,0.317153272421118,3.4
draftkings,-120.0,-0.027466128591904893,Oklahoma City Thunder @ Washington Wizards,player_points_alternate,Luguentz Dort,Over,9.5,,,-120.0,,-145.0,,-160.0,0.5304730207680519,1.8333333333333333
fanduel,110.0,-0.015076497712135373,Sacramento Kings @ Chicago Bulls,player_rebounds_alternate,Domantas Sabonis,Over,15.5,-114.0,,-130.0,,110.0,,,0.4690111915656498,2.1
hardrockbet,350.0,0.131476337998077,Milwaukee Bucks @ New York Knicks,player_rebounds_alternate,Josh Hart,Over,11.5,188.0,,270.0,,230.0,,350.0,0.2514391862217949,4.5
fanduel,-145.0,-0.040992541476525646,Sacramento Kings @ Chicago Bulls,player_assists_alternate,Malik Monk,Over,5.5,-182.0,,-195.0,,-145.0,,-190.0,0.5675758427996073,1.6896551724137931
fanduel,220.0,0.02402688619154847,Philadelphia 76ers @ Orlando Magic,player_points_alternate,Tristan da Silva,Over,14.5,,,170.0,,220.0,,175.0,0.3200084019348589,3.2
fanduel,-185.0,-0.05165016911009057,Oklahoma City Thunder @ Washington Wizards,player_assists_alternate,Isaiah Hartenstein,Over,3.5,-250.0,,-250.0,,-185.0,,-240.0,0.615595504261871,1.5405405405405406
fanduel,240.0,0.02962255136168168,Philadelphia 76ers @ Orlando Magic,player_rebounds_alternate,Joel Embiid,Over,11.5,,,180.0,,240.0,,180.0,0.3028301621652005,3.4
fanduel,-200.0,-0.060508261275524555,Indiana Pacers @ Cleveland Cavaliers,player_assists_alternate,Andrew Nembhard,Over,3.5,-278.0,,,,-200.0,,-250.0,0.626327825816317,1.5
hardrockbet,155.0,0.00272007652417372,Milwaukee Bucks @ New York Knicks,player_double_double,Josh Hart,Yes,,,,115.0,,100.0,150.0,155.0,0.3932235594212446,2.55
fanduel,125.0,-0.020803443328550997,Oklahoma City Thunder @ Washington Wizards,player_assists_alternate,Bilal Coulibaly,Over,3.5,104.0,,-105.0,,125.0,,100.0,0.4351984696317551,2.25
fanduel,185.0,0.006322094055013272,Sacramento Kings @ Chicago Bulls,player_rebounds_alternate,De'Aaron Fox,Over,5.5,140.0,,145.0,,185.0,,145.0,0.3530954715982503,2.85
fanduel,320.0,0.0789627968079607,Indiana Pacers @ Cleveland Cavaliers,player_points_alternate,Bennedict Mathurin,Over,19.5,205.0,,275.0,220.0,320.0,,240.0,0.2568959040018954,4.2
fanduel,-280.0,-0.06988503585767025,Milwaukee Bucks @ New York Knicks,player_points_alternate,Giannis Antetokounmpo,Over,24.5,,,-370.0,,-280.0,,-350.0,0.6853478683154008,1.3571428571428572
fanduel,-410.0,-0.0630632162950181,Indiana Pacers @ Cleveland Cavaliers,player_rebounds_alternate,Jarrett Allen,Over,7.5,,,-525.0,,-410.0,-655.0,-600.0,0.7532236888608678,1.2439024390243902
fanduel,350.0,0.06852802602394115,Denver Nuggets @ Dallas Mavericks,player_rebounds_alternate,Nikola Jokic,Over,15.5,211.0,,300.0,,350.0,,,0.2374506724497647,4.5
fanduel,-280.0,-0.057708610158318185,Sacramento Kings @ Chicago Bulls,player_rebounds_alternate,Nikola Vucevic,Over,7.5,,,-350.0,,-280.0,-400.0,-375.0,0.6943199714622919,1.3571428571428572
fanduel,-350.0,-0.07013490962692837,Oklahoma City Thunder @ Washington Wizards,player_assists_alternate,Jalen Williams,Over,3.5,-625.0,,-450.0,,-350.0,,-450.0,0.7232284036235003,1.2857142857142856
hardrockbet,-190.0,-0.06472878230074408,Milwaukee Bucks @ New York Knicks,player_rebounds_alternate,Josh Hart,Over,7.5,,,-270.0,,-280.0,,-190.0,0.6127639012512367,1.526315789473684
draftkings,-166.0,0.013124854677699194,Oklahoma City Thunder @ Washington Wizards,player_threes,Alex Sarr,Under,1.5,-204.0,,-166.0,-225.0,-215.0,-240.0,-230.0,0.6322508491597671,1.6024096385542168
fanduel,-550.0,-0.07052499780259325,Sacramento Kings @ Chicago Bulls,player_assists_alternate,Nikola Vucevic,Over,1.5,-1000.0,,,,-550.0,-765.0,,0.7864788480131901,1.181818181818182
fanduel,-105.0,-0.04369672107895062,Sacramento Kings @ Chicago Bulls,player_rebounds_alternate,Malik Monk,Over,3.5,-123.0,,-125.0,,-105.0,,-135.0,0.4898138745693179,1.9523809523809523
hardrockbet,275.0,0.035486252877557245,Indiana Pacers @ Cleveland Cavaliers,player_assists_alternate,Pascal Siakam,Over,3.5,186.0,,150.0,,250.0,,275.0,0.2761296674340153,3.75
fanduel,-470.0,-0.08110170107163628,Denver Nuggets @ Dallas Mavericks,player_assists_alternate,Spencer Dinwiddie,Over,3.5,-714.0,,-550.0,,-470.0,,,0.7576880710461946,1.2127659574468086
fanduel,150.0,-0.029452075970335723,Denver Nuggets @ Dallas Mavericks,player_rebounds_alternate,Nikola Jokic,Over,13.5,117.0,,130.0,,150.0,,,0.3882191696118657,2.5
draftkings,155.0,-0.016195922231045934,Indiana Pacers @ Cleveland Cavaliers,player_points_rebounds_assists_alternate,Myles Turner,Over,24.5,122.0,,155.0,,,125.0,,0.3858055206937075,2.55
fliff,150.0,-0.01694110144688854,Milwaukee Bucks @ New York Knicks,player_double_double,Josh Hart,Yes,,,,115.0,,100.0,150.0,155.0,0.3932235594212446,2.5
fanduel,175.0,-0.013387705607385225,Sacramento Kings @ Chicago Bulls,player_rebounds_alternate,Keegan Murray,Over,7.5,134.0,,140.0,,175.0,,140.0,0.3587681070518599,2.75
