value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
espnbet,1200.0,2.0088800082689713,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Devin Vassell,Over,7.5,,,866.0,-10000.0,,1200.0,,1000.0,0.2314523083283824,13.0
hardrockbet,1000.0,1.5459753916122065,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Devin Vassell,Over,7.5,,,866.0,-10000.0,,1200.0,,1000.0,0.2314523083283824,11.0
betonlineag,866.0,1.235829298452174,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Devin Vassell,Over,7.5,,,866.0,-10000.0,,1200.0,,1000.0,0.2314523083283824,9.66
draftkings,1000.0,1.3867813688909676,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,C.J. McCollum,Over,7.5,,,727.0,-10000.0,1000.0,900.0,,800.0,0.2169801244446334,11.0
bovada,-140.0,0.15447130110727914,New York Knicks @ Philadelphia 76ers,player_points_alternate,Josh Hart,Over,9.5,,-375.0,,-140.0,-310.0,-300.0,,-300.0,0.6734415923125795,1.7142857142857144
espnbet,900.0,1.169801244446334,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,C.J. McCollum,Over,7.5,,,727.0,-10000.0,1000.0,900.0,,800.0,0.2169801244446334,10.0
hardrockbet,800.0,0.9528211200017008,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,C.J. McCollum,Over,7.5,,,727.0,-10000.0,1000.0,900.0,,800.0,0.2169801244446334,9.0
betonlineag,727.0,0.7944256291571182,Dallas Mavericks @ New Orleans Pelicans,player_assists_alternate,C.J. McCollum,Over,7.5,,,727.0,-10000.0,1000.0,900.0,,800.0,0.2169801244446334,8.27
betonlineag,369.0,0.3660042283298097,Miami Heat @ Los Angeles Lakers,player_assists_alternate,Haywood Highsmith,Over,2.5,,250.0,369.0,,175.0,180.0,,180.0,0.2912588972984669,4.69
betonlineag,-149.0,0.05099098847599115,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Desmond Bane,Over,4.5,,-275.0,-149.0,,-210.0,-240.0,,-250.0,0.6289062541482839,1.6711409395973154
hardrockbet,275.0,0.17864693446088786,Brooklyn Nets @ Los Angeles Clippers,player_assists_alternate,Kawhi Leonard,Over,2.5,,180.0,,,120.0,250.0,,275.0,0.3143058491895701,3.75
fanduel,-310.0,-0.036482446440370575,Memphis Grizzlies @ San Antonio Spurs,player_points_alternate,Stephon Castle,Over,9.5,,-550.0,,,-425.0,-550.0,-310.0,-525.0,0.7285132722036222,1.3225806451612905
fanduel,410.0,0.2825384769028003,Brooklyn Nets @ Los Angeles Clippers,player_points_alternate,Kris Dunn,Over,9.5,,275.0,,,250.0,240.0,410.0,275.0,0.2514781327260393,5.1
betonlineag,-303.0,-0.03038071265596709,Memphis Grizzlies @ San Antonio Spurs,player_assists_alternate,Desmond Bane,Over,3.5,,,-303.0,-500.0,-475.0,-575.0,-390.0,-575.0,0.7290189679038263,1.33003300330033
fanduel,500.0,0.29827680282502156,Orlando Magic @ Milwaukee Bucks,player_assists_alternate,Giannis Antetokounmpo,Over,7.5,,,210.0,325.0,340.0,,500.0,,0.2163794671375036,6.0
betmgm,300.0,0.18837273078039152,Memphis Grizzlies @ San Antonio Spurs,player_points_alternate,Jake LaRavia,Over,9.5,,300.0,,,,200.0,,225.0,0.2970931826950979,4.0
betmgm,333.0,0.20842955494118276,Charlotte Hornets @ Utah Jazz,player_points_alternate,Isaiah Collier,Over,14.5,,333.0,,,200.0,225.0,,,0.2790830380926519,4.33
betonlineag,128.0,0.0881716537345062,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Vit Krejci,Over,9.5,,-110.0,128.0,,-115.0,,110.0,,0.477268269181801,2.28
fanduel,135.0,0.08788365273197163,Orlando Magic @ Milwaukee Bucks,player_assists_alternate,Giannis Antetokounmpo,Over,5.5,,,103.0,-125.0,-105.0,,135.0,115.0,0.4629292139284985,2.35
fanduel,-290.0,-0.04579344234516647,Golden State Warriors @ Minnesota Timberwolves,player_assists_alternate,Trayce Jackson-Davis,Over,1.5,,,-455.0,,,-400.0,-290.0,,0.7095382095382096,1.3448275862068966
fanduel,-230.0,-0.008766626401769506,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Trae Young,Over,24.5,,-275.0,,-275.0,-310.0,-400.0,-230.0,-375.0,0.6908596240230092,1.434782608695652
fanduel,110.0,0.0709191545833634,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Trae Young,Over,29.5,,105.0,-108.0,-120.0,-120.0,-140.0,110.0,-145.0,0.509961502182554,2.1
fanduel,310.0,0.15646707943219584,Atlanta Hawks @ Chicago Bulls,player_rebounds_alternate,Vit Krejci,Over,5.5,,,228.0,,180.0,,310.0,,0.2820651413249258,4.1
draftkings,-250.0,-0.02693814727749,Dallas Mavericks @ New Orleans Pelicans,player_rebounds_alternate,Daniel Gafford,Over,5.5,,,,-400.0,-250.0,,-310.0,-350.0,0.6950441805160786,1.4
ballybet,380.0,0.22052698132432358,Dallas Mavericks @ New Orleans Pelicans,player_double_double,Daniel Gafford,Yes,,380.0,,,300.0,220.0,230.0,320.0,220.0,0.2542764544425674,4.8
fanduel,300.0,0.16109043252081245,Charlotte Hornets @ Utah Jazz,player_rebounds_alternate,Brandon Miller,Over,5.5,,,185.0,,225.0,,300.0,220.0,0.2902726081302031,4.0
betmgm,140.0,0.06914072061218202,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Bogdan Bogdanovic,Over,14.5,,140.0,,,115.0,105.0,,105.0,0.4454753002550758,2.4
betmgm,275.0,0.15998400607948815,Atlanta Hawks @ Chicago Bulls,player_points_alternate,Trae Young,Over,34.5,,275.0,204.0,220.0,195.0,165.0,260.0,170.0,0.3093290682878635,3.75
betonlineag,-128.0,0.025331616995157846,Miami Heat @ Los Angeles Lakers,player_assists_alternate,Haywood Highsmith,Over,1.5,,,-128.0,,-175.0,-150.0,,,0.5756247674358781,1.78125
