value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,480.0,0.28447429396729795,Cleveland Cavaliers @ Houston Rockets,player_rebounds_alternate,Cam Whitmore,Over,5.5,,,228.0,,340.0,,480.0,,,0.2214610851667755,5.8
draftkings,-140.0,0.03455627348263812,Boston Celtics @ Los Angeles Clippers,player_points_rebounds_assists_alternate,James Harden,Over,34.5,,,-200.0,,-140.0,-190.0,,,,0.6034911595315389,1.7142857142857144
draftkings,145.0,0.10977535546479367,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Daniel Gafford,Over,14.5,,115.0,,-115.0,145.0,100.0,115.0,,105.0,0.4529695328427728,2.45
draftkings,-280.0,-0.03278638520277677,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Daniel Gafford,Over,9.5,,-500.0,,-410.0,-280.0,-475.0,-360.0,,-450.0,0.7126837161663749,1.3571428571428572
espnbet,325.0,0.18753082226975293,Minnesota Timberwolves @ Dallas Mavericks,player_points_alternate,Nickeil Alexander-Walker,Over,11.5,,,195.0,,155.0,325.0,,305.0,,0.2794190170046478,4.25
ballybet,-104.0,0.05739338705366048,Utah Jazz @ Oklahoma City Thunder,player_rebounds_assists,John Collins,Over,7.5,-104.0,-150.0,,,,-145.0,,-155.0,-145.0,0.5390632953606896,1.9615384615384617
fanduel,-350.0,-0.06135304912478845,Milwaukee Bucks @ New Orleans Pelicans,player_rebounds_alternate,Bobby Portis,Over,5.5,,,,,-425.0,,-350.0,,-600.0,0.7300587395696091,1.2857142857142856
fanduel,-120.0,0.04383917330095066,Cleveland Cavaliers @ Houston Rockets,player_points_alternate,Cam Whitmore,Over,9.5,,-155.0,,,-170.0,-150.0,-120.0,,,0.5693668218005186,1.8333333333333333
ballybet,400.0,0.24158370255167538,Boston Celtics @ Los Angeles Clippers,player_double_double,Kristaps Porzingis,Yes,,400.0,250.0,,,230.0,260.0,300.0,240.0,240.0,0.2483167405103351,5.0
fanduel,-230.0,-0.010220413234158232,Boston Celtics @ Los Angeles Clippers,player_rebounds_alternate,Jayson Tatum,Over,7.5,,,,,-310.0,-300.0,-230.0,,-350.0,0.6898463786549807,1.434782608695652
