value_book,value_book_price,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
bovada,115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points_rebounds_assists,Nickeil Alexander-Walker,Under,13.5,,-120.0,101.0,115.0,,,-125.0,-120.0,0.485931405890691,2.15,0.04475252266498564
ballybet,450.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,Julius Randle,Yes,,450.0,320.0,,300.0,340.0,330.0,315.0,300.0,0.2047875032017624,5.5,0.12633126760969327
hardrockbet,700.0,New Orleans Pelicans @ Atlanta Hawks,player_first_basket,Trae Young,Yes,,400.0,,,400.0,500.0,460.0,,700.0,0.1532286725028936,8.0,0.22582938002314878
fanduel,110.0,New Orleans Pelicans @ Atlanta Hawks,player_steals,Dejounte Murray,Over,1.5,-112.0,-115.0,,,,110.0,-120.0,-115.0,0.4882901963599814,2.1,0.025409412355960947
ballybet,110.0,Brooklyn Nets @ Chicago Bulls,player_points,Cameron Johnson,Over,21.5,110.0,-115.0,-111.0,-115.0,-105.0,,-125.0,-115.0,0.4888001025448354,2.1,0.026480215344154345
bovada,-150.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nikola Vucevic,Yes,,-215.0,-190.0,,-150.0,-200.0,-155.0,-195.0,-200.0,0.5739772787876996,1.6666666666666663,-0.04337120202050093
fanduel,106.0,New Orleans Pelicans @ Atlanta Hawks,player_rebounds_assists,Dyson Daniels,Under,7.5,,-110.0,,-115.0,-120.0,106.0,-125.0,-120.0,0.4961371161869436,2.06,0.02204245934510385
ballybet,175.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Mike Conley,Over,2.5,175.0,145.0,144.0,150.0,130.0,,130.0,140.0,0.3818557970387014,2.75,0.0501034418564289
ballybet,230.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Clint Capela,Yes,,230.0,180.0,,170.0,195.0,185.0,175.0,175.0,0.3088207137347159,3.3,0.019108355324562565
ballybet,-195.0,New Orleans Pelicans @ Atlanta Hawks,player_threes,Dyson Daniels,Under,1.5,-195.0,-250.0,-250.0,-260.0,-240.0,,-255.0,-250.0,0.6587808289242657,1.5128205128205128,-0.0033828485504698858
ballybet,510.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Josh Giddey,Yes,,510.0,400.0,,330.0,350.0,340.0,395.0,375.0,0.1841268060443972,6.1,0.12317351687082301
fanduel,-290.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,Anthony Davis,Yes,,-500.0,-375.0,,-300.0,-450.0,-290.0,-385.0,-400.0,0.6983931182688947,1.3448275862068966,-0.06078166853493472
ballybet,135.0,Los Angeles Lakers @ Minnesota Timberwolves,player_threes,Anthony Edwards,Under,3.5,135.0,110.0,111.0,110.0,,116.0,105.0,105.0,0.4374048557442708,2.35,0.027901410999036313
ballybet,575.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Dejounte Murray,Yes,,575.0,475.0,,300.0,500.0,300.0,470.0,450.0,0.1697475726445473,6.75,0.14579611535069414
bovada,105.0,Miami Heat @ Boston Celtics,player_points,Jayson Tatum,Over,29.5,-118.0,-125.0,-102.0,105.0,-110.0,-113.0,-130.0,-125.0,0.4985150546076852,2.05,0.021955861945754607
fanduel,-140.0,Brooklyn Nets @ Chicago Bulls,player_threes,Coby White,Over,2.5,-157.0,-175.0,-169.0,-180.0,-175.0,-140.0,-185.0,-175.0,0.5856090305894937,1.7142857142857144,0.003901195296274862
fanduel,-111.0,New Orleans Pelicans @ Atlanta Hawks,player_rebounds_assists,Dejounte Murray,Under,11.5,,-125.0,,-135.0,-135.0,-111.0,-145.0,-140.0,0.530730010888948,1.900900900900901,0.008865155833946314
ballybet,138.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,Julius Randle,Over,4.5,138.0,115.0,117.0,120.0,110.0,,105.0,115.0,0.4292211041477033,2.38,0.02154622787153393
fanduel,-170.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,LeBron James,Yes,,-220.0,-200.0,,-250.0,-190.0,-170.0,-205.0,-210.0,0.5932767705610823,1.5882352941176472,-0.057736893814751555
fanduel,-155.0,Brooklyn Nets @ Chicago Bulls,player_double_double,Nikola Vucevic,Yes,,-215.0,-190.0,,-150.0,-200.0,-155.0,-195.0,-200.0,0.5739772787876996,1.6451612903225803,-0.055714799413784766
fanduel,-104.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Mike Conley,Over,10.5,-108.0,-135.0,-120.0,-120.0,,-104.0,-140.0,-130.0,0.5124609670157895,1.9615384615384617,0.005211896838664076
bovada,110.0,Los Angeles Lakers @ Minnesota Timberwolves,player_points,Naz Reid,Under,10.5,,-110.0,,110.0,,,-120.0,-110.0,0.4802574504171013,2.1,0.008540645875912745
betonlineag,110.0,New Orleans Pelicans @ Atlanta Hawks,player_points,Trae Young,Over,21.5,-108.0,-110.0,110.0,-105.0,-115.0,-104.0,-115.0,-110.0,0.4828095057070642,2.1,0.013899961984834786
betonlineag,-103.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Jalen Wilson,Over,21.5,,-125.0,-103.0,-115.0,,,-130.0,-125.0,0.507392697863408,1.970873786407767,6.967633707111176e-06
bovada,100.0,New Orleans Pelicans @ Atlanta Hawks,player_points,Jalen Johnson,Under,19.5,-113.0,-130.0,-110.0,100.0,-120.0,-115.0,-130.0,-125.0,0.5042950182505405,2.0,0.008590036501080922
bovada,-300.0,Los Angeles Lakers @ Minnesota Timberwolves,player_double_double,Anthony Davis,Yes,,-500.0,-375.0,,-300.0,-450.0,-290.0,-385.0,-400.0,0.6983931182688947,1.3333333333333333,-0.06880917564147371
fanduel,102.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Dyson Daniels,Under,2.5,-109.0,-120.0,-112.0,,-115.0,102.0,-125.0,-120.0,0.4957623419317786,2.02,0.0014399307021928376
fanduel,150.0,Los Angeles Lakers @ Minnesota Timberwolves,player_steals,Mike Conley,Over,1.5,130.0,125.0,,,,150.0,120.0,130.0,0.4042989274181477,2.5,0.010747318545369255
fanduel,-220.0,New Orleans Pelicans @ Atlanta Hawks,player_double_double,Trae Young,Yes,,-286.0,-250.0,,-250.0,-295.0,-220.0,-270.0,-275.0,0.640631290645761,1.4545454545454546,-0.06817266815162037
ballybet,104.0,Miami Heat @ Boston Celtics,player_double_double,Jayson Tatum,Yes,,104.0,,,,-110.0,-115.0,-115.0,-120.0,0.4614763633415495,2.04,-0.05858821878323883
fanduel,100.0,Brooklyn Nets @ Chicago Bulls,player_threes,Nikola Vucevic,Over,1.5,-103.0,-120.0,-114.0,-120.0,-125.0,100.0,-125.0,-120.0,0.4992680648165938,2.0,-0.001463870366812392
draftkings,-115.0,Los Angeles Lakers @ Minnesota Timberwolves,player_assists,LeBron James,Over,9.5,-150.0,-140.0,-127.0,-130.0,-115.0,-120.0,-145.0,-145.0,0.5316712226853588,1.869565217391304,-0.006005974979546691
betonlineag,-103.0,Brooklyn Nets @ Chicago Bulls,player_points_rebounds_assists,Nicolas Claxton,Over,26.5,,-125.0,-103.0,-125.0,-105.0,-113.0,-135.0,-125.0,0.5058592590143199,1.970873786407767,-0.0030152467970199215
bovada,105.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds,Dyson Daniels,Under,16.5,,-115.0,,105.0,-105.0,-102.0,-120.0,-120.0,0.4858408513764121,2.05,-0.004026254678355268
betonlineag,-103.0,New Orleans Pelicans @ Atlanta Hawks,player_points_rebounds_assists,De'Andre Hunter,Under,19.5,,-120.0,-103.0,-120.0,,,-125.0,-120.0,0.5034371981745027,1.970873786407767,-0.007788823015300483
betonlineag,-103.0,New Orleans Pelicans @ Atlanta Hawks,player_assists,Jalen Johnson,Under,4.5,-134.0,-105.0,-103.0,-115.0,-115.0,-122.0,-130.0,-130.0,0.5062700536484673,1.970873786407767,-0.0022056224209818787
