value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
fanduel,-120.0,0.005469548297752036,Lipscomb Bisons @ Middle Tennessee Blue Raiders,h2h,,Middle Tennessee Blue Raiders,,-134.0,-135.0,,-134.0,,-130.0,-135.0,-135.0,-120.0,-150.0,-140.0,,-155.0,-143.0,0.5484379354351375,1.8333333333333333
fanduel,-188.0,-0.007296384949263102,Alabama St Hornets @ Norfolk St Spartans,h2h,,Norfolk St Spartans,,-200.0,-225.0,,-200.0,,-225.0,-218.0,-210.0,-188.0,-225.0,-210.0,,-240.0,-222.0,0.6480148598247866,1.5319148936170213
draftkings,210.0,0.021872196167550317,Grambling St Tigers @ Delaware St Hornets,h2h,,Delaware St Hornets,,175.0,190.0,,175.0,,180.0,210.0,195.0,180.0,175.0,180.0,,180.0,195.0,0.329636192312113,3.1
lowvig,101.0,-0.09354222634493581,Tennessee Tech Golden Eagles @ Lindenwood Lions,spreads,,Tennessee Tech Golden Eagles,2.5,-120.0,,-103.0,-120.0,-105.0,,,,-102.0,-105.0,,101.0,-110.0,,0.4509740167438131,2.01
draftkings,180.0,0.015537404129638999,Tennessee St Tigers @ Southern Indiana Screaming Eagles,h2h,,Tennessee St Tigers,,150.0,170.0,170.0,150.0,167.0,165.0,180.0,170.0,160.0,160.0,160.0,170.0,167.0,155.0,0.3626919300462997,2.8
bovada,-220.0,-0.024925370635800248,Grambling St Tigers @ Delaware St Hornets,h2h,,Grambling St Tigers,,-240.0,-250.0,,-240.0,,-220.0,-258.0,-230.0,-220.0,-250.0,-250.0,,-270.0,-250.0,0.6703638076878873,1.4545454545454546
fanduel,-220.0,-0.024925370635800248,Grambling St Tigers @ Delaware St Hornets,h2h,,Grambling St Tigers,,-240.0,-250.0,,-240.0,,-220.0,-258.0,-230.0,-220.0,-250.0,-250.0,,-270.0,-250.0,0.6703638076878873,1.4545454545454546
lowvig,-106.0,-0.10062499413282555,Lipscomb Bisons @ Middle Tennessee Blue Raiders,spreads,,Lipscomb Bisons,2.5,,-115.0,-110.0,,,,,,,-125.0,,-106.0,,,0.4627851971937888,1.9433962264150944
bovada,-130.0,-0.01002474242767637,UC Irvine Anteaters @ Belmont Bruins,h2h,,UC Irvine Anteaters,,-141.0,-145.0,-140.0,-141.0,-140.0,-130.0,-142.0,-145.0,-140.0,-150.0,-140.0,-140.0,-147.0,-143.0,0.5595512325408786,1.7692307692307692
espnbet,-105.0,-0.026984498709433202,New Orleans Privateers @ Texas Longhorns,totals,,Over,149.5,-117.0,,,-117.0,,,,-105.0,,-110.0,,,,,0.4983737933439489,1.9523809523809523
