value_book,value_book_price,EV,implied_prob_diff,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
draftkings,425.0,0.2113891384991129,-0.0935946450652333,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Filip Chytil,Yes,,240.0,260.0,,240.0,425.0,380.0,270.0,375.0,375.0,0.2307407882855453,5.25
draftkings,600.0,0.31671570229922597,-0.0918255460078768,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Ondrej Palat,Yes,,280.0,380.0,,280.0,600.0,600.0,390.0,550.0,575.0,0.1881022431856037,7.0
draftkings,600.0,0.3001525553012967,-0.0884241854636591,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Nils Hoglander,Yes,,280.0,425.0,,280.0,600.0,600.0,380.0,565.0,575.0,0.1857360793287567,7.0
draftkings,750.0,0.3541845677951536,-0.0819576842594745,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Tomas Tatar,Yes,,360.0,450.0,,360.0,750.0,700.0,450.0,640.0,650.0,0.1593158315053122,8.5
draftkings,450.0,0.1556064073226543,-0.0747607655502392,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Reilly Smith,Yes,,280.0,300.0,,280.0,450.0,425.0,300.0,405.0,425.0,0.2101102558768462,5.5
fanduel,260.0,0.08546248223793329,-0.0731714343329588,Seattle Kraken @ New Jersey Devils,player_goals,Jared McCann,Over,0.5,,,,,,190.0,260.0,180.0,185.0,0.3015173561772037,3.6
draftkings,200.0,0.02165039929015089,-0.0728741496598639,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Elias Pettersson,Yes,,150.0,145.0,,150.0,200.0,185.0,140.0,180.0,180.0,0.340550133096717,3.0
ballybet,-400.0,-0.014442391367652463,-0.0643635231870526,Minnesota Wild @ Anaheim Ducks,player_power_play_points,Marco Rossi,Under,0.5,-400.0,-650.0,,,,-600.0,,-665.0,,0.788446086905878,1.25
fanduel,260.0,0.05772240995659894,-0.0612702123514513,Minnesota Wild @ Anaheim Ducks,player_goals,Frank Vatrano,Over,0.5,,,,,,200.0,260.0,190.0,195.0,0.2938117805434997,3.6
ballybet,225.0,0.06171801252839859,-0.0610580893599761,Washington Capitals @ Toronto Maple Leafs,player_power_play_points,Dylan Strome,Over,0.5,225.0,175.0,,,,170.0,,165.0,175.0,0.3266824653933534,3.25
draftkings,240.0,0.011612903225806326,-0.0600569259962049,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Alexis Lafrenière,Yes,,150.0,210.0,,150.0,240.0,230.0,240.0,215.0,220.0,0.2975332068311195,3.4
fanduel,240.0,0.011612903225806326,-0.0600569259962049,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Alexis Lafrenière,Yes,,150.0,210.0,,150.0,240.0,230.0,240.0,215.0,220.0,0.2975332068311195,3.4
draftkings,225.0,1.4262961466338098e-05,-0.0576986163098792,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Timo Meier,Yes,,150.0,195.0,,150.0,225.0,210.0,210.0,200.0,200.0,0.3076966962958358,3.25
betmgm,175.0,-0.02209812524930177,-0.0566305254378649,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Jack Hughes,Yes,,118.0,175.0,,118.0,150.0,155.0,175.0,135.0,135.0,0.3556006817275266,2.75
fanduel,175.0,-0.02209812524930177,-0.0566305254378649,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Jack Hughes,Yes,,118.0,175.0,,118.0,150.0,155.0,175.0,135.0,135.0,0.3556006817275266,2.75
fanduel,250.0,0.005621829151240654,-0.0558803941156882,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Mika Zibanejad,Yes,,160.0,240.0,,160.0,230.0,250.0,250.0,230.0,230.0,0.2873205226146402,3.5
draftkings,800.0,0.21739130434782628,-0.0555555555555555,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Aatu Raty,Yes,,400.0,650.0,,400.0,800.0,750.0,650.0,680.0,750.0,0.1352657004830918,9.0
draftkings,750.0,0.19185152321798227,-0.0545043017206882,Pittsburgh Penguins @ New York Rangers,player_goal_scorer_anytime,Jimmy Vesey,Yes,,390.0,650.0,,380.0,750.0,700.0,600.0,645.0,700.0,0.1402178262609391,8.5
draftkings,550.0,0.1159420289855071,-0.0544871794871794,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Danton Heinen,Yes,,300.0,500.0,,300.0,550.0,550.0,500.0,495.0,500.0,0.1716833890746934,6.5
fanduel,145.0,-0.001230358677029364,-0.054224588386079,Minnesota Wild @ Anaheim Ducks,player_goals,Matt Boldy,Over,0.5,,,,,,130.0,145.0,110.0,110.0,0.4076610780910084,2.45
draftkings,185.0,-0.02353410450737936,-0.0539192016739096,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Nico Hischier,Yes,,118.0,185.0,,118.0,185.0,175.0,185.0,170.0,175.0,0.3426196124535511,2.85
fanduel,185.0,-0.02353410450737936,-0.0539192016739096,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Nico Hischier,Yes,,118.0,185.0,,118.0,185.0,175.0,185.0,170.0,175.0,0.3426196124535511,2.85
betmgm,185.0,-0.02353410450737936,-0.0539192016739095,Seattle Kraken @ New Jersey Devils,player_goal_scorer_anytime,Nico Hischier,Yes,,118.0,185.0,,118.0,185.0,175.0,185.0,170.0,175.0,0.3426196124535511,2.85
fanduel,440.0,0.11176443177190443,-0.0539120797370439,Minnesota Wild @ Anaheim Ducks,player_goals,Alex Killorn,Over,0.5,,,,,,320.0,440.0,310.0,325.0,0.2058823021799823,5.4
draftkings,700.0,0.1669912198571959,-0.05344373481809,Washington Capitals @ Toronto Maple Leafs,player_goal_scorer_anytime,Ivan Miroshnichenko,Yes,,440.0,475.0,,440.0,700.0,650.0,490.0,610.0,650.0,0.1458739024821495,8.0
betmgm,425.0,0.06225582860743528,-0.0527605244996549,Columbus Blue Jackets @ Vancouver Canucks,player_goal_scorer_anytime,Kiefer Sherwood,Yes,,260.0,425.0,,260.0,360.0,340.0,400.0,325.0,325.0,0.2023344435442734,5.25
