value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,330.0,0.11424188115761558,Florida Panthers @ Edmonton Oilers,player_goals,Ryan Nugent-Hopkins,Over,0.5,,,,,240.0,330.0,225.0,230.0,0.2591260188738641,4.3
fanduel,230.0,0.05971801892877315,Florida Panthers @ Edmonton Oilers,player_goals,Matthew Tkachuk,Over,0.5,,,,,175.0,230.0,170.0,170.0,0.3211266724026586,3.3
fanduel,240.0,0.05205004768266597,Colorado Avalanche @ Vancouver Canucks,player_goals,Artturi Lehkonen,Over,0.5,,,,,185.0,240.0,180.0,180.0,0.3094264846125488,3.4
ballybet,125.0,0.03704652570103817,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Conor Garland,Over,2.5,125.0,100.0,102.0,100.0,-102.0,102.0,-105.0,100.0,0.4609095669782392,2.25
fanduel,195.0,0.0255662078058414,Florida Panthers @ Edmonton Oilers,player_goals,Zach Hyman,Over,0.5,,,,,160.0,195.0,150.0,150.0,0.3476495619680818,2.95
fanduel,260.0,0.04644486430907335,Washington Capitals @ Dallas Stars,player_goals,Jason Robertson,Over,0.5,,,,,200.0,260.0,200.0,200.0,0.2906791289747426,3.6
ballybet,-360.0,-0.024385622896634485,Florida Panthers @ Edmonton Oilers,player_power_play_points,Carter Verhaeghe,Under,0.5,-360.0,-500.0,,,-500.0,,-520.0,,0.763524295124373,1.2777777777777777
fanduel,220.0,0.022862858540296127,Washington Capitals @ Dallas Stars,player_goals,Wyatt Johnston,Over,0.5,,,,,175.0,220.0,175.0,175.0,0.3196446432938425,3.2
fanduel,300.0,0.04765022354081361,Washington Capitals @ Dallas Stars,player_goals,Mason Marchment,Over,0.5,,,,,240.0,300.0,230.0,230.0,0.2619125558852034,4.0
ballybet,-335.0,-0.024087687750061204,Colorado Avalanche @ Vancouver Canucks,player_power_play_points,Elias Pettersson,Under,0.5,-335.0,-450.0,,,-450.0,,-465.0,,0.7515646542614471,1.2985074626865671
ballybet,-186.0,-0.017059052147144982,Colorado Avalanche @ Vancouver Canucks,player_power_play_points,Cale Makar,Under,0.5,-186.0,-225.0,,,-230.0,,-240.0,,0.6392553017504582,1.5376344086021505
fanduel,340.0,0.05103265839086468,Washington Capitals @ Dallas Stars,player_goals,Logan Stankoven,Over,0.5,,,,,275.0,340.0,260.0,260.0,0.2388710587251965,4.4
ballybet,-275.0,-0.025995415260304022,Florida Panthers @ Edmonton Oilers,player_power_play_points,Matthew Tkachuk,Under,0.5,-275.0,-350.0,,,-340.0,,-375.0,,0.7142700288091103,1.3636363636363638
fanduel,170.0,-0.004528386591889588,Florida Panthers @ Edmonton Oilers,player_goals,Sam Reinhart,Over,0.5,,,,,140.0,170.0,140.0,140.0,0.368693190151152,2.7
ballybet,145.0,0.020444366724924112,Washington Capitals @ Dallas Stars,player_shots_on_goal,Roope Hintz,Over,2.5,145.0,120.0,126.0,,115.0,132.0,110.0,120.0,0.4165079047856833,2.45
fanduel,140.0,-0.016217546018984397,Colorado Avalanche @ Vancouver Canucks,player_goals,Nathan MacKinnon,Over,0.5,,,,,130.0,140.0,110.0,110.0,0.4099093558254232,2.4
ballybet,105.0,0.002741507289680145,Florida Panthers @ Edmonton Oilers,player_shots_on_goal,Leon Draisaitl,Over,2.5,105.0,-115.0,-110.0,,-114.0,-110.0,-120.0,-115.0,0.4891421986778928,2.05
fanduel,480.0,0.08945058887063517,Colorado Avalanche @ Vancouver Canucks,player_goals,Quinn Hughes,Over,0.5,,,,,380.0,480.0,355.0,350.0,0.1878363084259716,5.8
ballybet,-315.0,-0.02912285360700695,Florida Panthers @ Edmonton Oilers,player_power_play_points,Sam Reinhart,Under,0.5,-315.0,-400.0,,,-400.0,,-420.0,,0.7369308460573321,1.3174603174603174
fanduel,195.0,-0.043785106425038633,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Zach Hyman,Yes,,148.0,190.0,,155.0,160.0,195.0,150.0,150.0,0.3241406418898174,2.95
fanduel,260.0,-0.024931309924297373,Washington Capitals @ Dallas Stars,player_goal_scorer_anytime,Jason Robertson,Yes,,175.0,250.0,,210.0,200.0,260.0,200.0,200.0,0.2708524139099174,3.6
fanduel,300.0,-0.015434471011030793,Washington Capitals @ Dallas Stars,player_goal_scorer_anytime,Mason Marchment,Yes,,200.0,290.0,,245.0,240.0,300.0,230.0,230.0,0.2461413822472423,4.0
betmgm,145.0,-0.06413113291876482,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Nathan MacKinnon,Yes,,112.0,145.0,,130.0,130.0,140.0,110.0,110.0,0.3819872926862184,2.45
fanduel,120.0,0.0020962513792353032,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Valeri Nichushkin,Over,2.5,105.0,-105.0,112.0,110.0,103.0,120.0,-110.0,105.0,0.4554982960814706,2.2
ballybet,125.0,-0.026215258929449314,Florida Panthers @ Edmonton Oilers,player_power_play_points,Connor McDavid,Over,0.5,125.0,110.0,,,110.0,,105.0,110.0,0.4327932182535781,2.25
fanduel,280.0,0.006224885565974336,Washington Capitals @ Dallas Stars,player_goals,Tom Wilson,Over,0.5,,,,,240.0,280.0,230.0,230.0,0.2647960225173617,3.8
betmgm,230.0,-0.04609208553617927,Washington Capitals @ Dallas Stars,player_goal_scorer_anytime,Wyatt Johnston,Yes,,190.0,230.0,,185.0,175.0,220.0,175.0,175.0,0.289063004382976,3.3
fanduel,220.0,-0.011256237520760548,Colorado Avalanche @ Vancouver Canucks,player_goals,Jake DeBrusk,Over,0.5,,,,,190.0,220.0,185.0,185.0,0.3089824257747623,3.2
fanduel,122.0,-0.0038894093491860238,Washington Capitals @ Dallas Stars,player_shots_on_goal,Logan Stankoven,Over,2.5,,105.0,110.0,110.0,103.0,122.0,100.0,105.0,0.4486984642571234,2.22
fanduel,145.0,-0.028661378816343897,Florida Panthers @ Edmonton Oilers,player_goals,Leon Draisaitl,Over,0.5,,,,,125.0,145.0,125.0,125.0,0.3964647433402677,2.45
ballybet,-157.0,-0.01988176442798506,Washington Capitals @ Dallas Stars,player_shots_on_goal,John Carlson,Under,2.5,-157.0,-185.0,-185.0,-175.0,-180.0,-198.0,-185.0,-175.0,0.5987492723144217,1.6369426751592355
fanduel,330.0,-0.023907595074643462,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Ryan Nugent-Hopkins,Yes,,280.0,320.0,,250.0,240.0,330.0,225.0,230.0,0.2269982337035713,4.3
betmgm,190.0,-0.05999213851952956,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Zach Hyman,Yes,,148.0,190.0,,155.0,160.0,195.0,150.0,150.0,0.3241406418898174,2.9
fanduel,150.0,0.003126819213945864,Washington Capitals @ Dallas Stars,player_shots_on_goal,John Carlson,Over,2.5,120.0,130.0,141.0,135.0,130.0,150.0,125.0,130.0,0.4012507276855783,2.5
fanduel,280.0,-0.039536825697266575,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,J.T. Miller,Yes,,175.0,280.0,,255.0,240.0,280.0,230.0,230.0,0.252753466921772,3.8
betmgm,280.0,-0.039536825697266575,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,J.T. Miller,Yes,,175.0,280.0,,255.0,240.0,280.0,230.0,230.0,0.252753466921772,3.8
fanduel,220.0,-0.01412203983863869,Washington Capitals @ Dallas Stars,player_goals,Roope Hintz,Over,0.5,,,,,190.0,220.0,185.0,190.0,0.3080868625504254,3.2
fanduel,136.0,-0.0015408952250214325,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Artturi Lehkonen,Over,2.5,130.0,110.0,128.0,130.0,120.0,136.0,105.0,110.0,0.4230758918538044,2.3600000000000003
fanduel,430.0,0.034835671924524414,Washington Capitals @ Dallas Stars,player_goals,Aliaksei Protas,Over,0.5,,,,,360.0,430.0,340.0,350.0,0.195252013570665,5.3
fanduel,120.0,-0.005950385369136946,Florida Panthers @ Edmonton Oilers,player_shots_on_goal,Evan Bouchard,Over,2.5,100.0,105.0,112.0,110.0,103.0,120.0,100.0,105.0,0.4518407339231195,2.2
betmgm,290.0,-0.04004860923575504,Washington Capitals @ Dallas Stars,player_goal_scorer_anytime,Mason Marchment,Yes,,200.0,290.0,,245.0,240.0,300.0,230.0,230.0,0.2461413822472423,3.9
draftkings,550.0,0.019323671497584072,Washington Capitals @ Dallas Stars,player_goal_scorer_anytime,Andrew Mangiapane,Yes,,350.0,425.0,,550.0,550.0,420.0,495.0,500.0,0.1568190263842437,6.5
ballybet,-335.0,-0.03814196614412735,Colorado Avalanche @ Vancouver Canucks,player_power_play_points,J.T. Miller,Under,0.5,-335.0,-400.0,,,-400.0,,-425.0,,0.740741244463718,1.2985074626865671
betmgm,230.0,-0.054881123220727246,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Matthew Tkachuk,Yes,,195.0,230.0,,185.0,175.0,230.0,170.0,170.0,0.2863996596300827,3.3
fanduel,230.0,-0.054881123220727246,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Matthew Tkachuk,Yes,,195.0,230.0,,185.0,175.0,230.0,170.0,170.0,0.2863996596300827,3.3
fanduel,134.0,-0.005425991017287468,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Brock Boeser,Over,2.5,125.0,115.0,122.0,120.0,115.0,134.0,110.0,115.0,0.42503162777039,2.34
draftkings,475.0,0.0005797101449273034,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Kasperi Kapanen,Yes,,350.0,350.0,,475.0,450.0,350.0,435.0,450.0,0.1740138626339004,5.75
fanduel,220.0,-0.019969645207601805,Colorado Avalanche @ Vancouver Canucks,player_goals,Brock Boeser,Over,0.5,,,,,190.0,220.0,190.0,190.0,0.3062594858726244,3.2
betmgm,250.0,-0.05201655131528915,Washington Capitals @ Dallas Stars,player_goal_scorer_anytime,Jason Robertson,Yes,,175.0,250.0,,210.0,200.0,260.0,200.0,200.0,0.2708524139099174,3.5
fanduel,230.0,-0.015600757046981495,Colorado Avalanche @ Vancouver Canucks,player_goals,Elias Pettersson,Over,0.5,,,,,200.0,230.0,195.0,200.0,0.2983028008948541,3.3
draftkings,850.0,0.0786749482401653,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Mattias Janmark,Yes,,500.0,600.0,,850.0,750.0,600.0,680.0,750.0,0.1135447313937016,9.5
betmgm,240.0,-0.056540885497950444,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Artturi Lehkonen,Yes,,215.0,240.0,,185.0,185.0,240.0,180.0,180.0,0.277487974853544,3.4
fanduel,240.0,-0.056540885497950444,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Artturi Lehkonen,Yes,,215.0,240.0,,185.0,185.0,240.0,180.0,180.0,0.277487974853544,3.4
fanduel,210.0,-0.026027190391564425,Colorado Avalanche @ Vancouver Canucks,player_goals,Valeri Nichushkin,Over,0.5,,,,,185.0,210.0,180.0,185.0,0.3141847772930437,3.1
hardrockbet,-145.0,-0.025197196580566072,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Artturi Lehkonen,Under,2.5,-175.0,-150.0,-167.0,-168.0,-165.0,-178.0,-150.0,-145.0,0.5769241081461955,1.6896551724137931
ballybet,-150.0,-0.02521762631014912,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Mikko Rantanen,Over,2.5,-150.0,-175.0,-164.0,-162.0,-180.0,-156.0,-180.0,-175.0,0.5848694242139106,1.6666666666666663
ballybet,130.0,-0.012745609774463373,Washington Capitals @ Dallas Stars,player_shots_on_goal,Dylan Strome,Under,1.5,130.0,115.0,119.0,120.0,115.0,114.0,110.0,115.0,0.4292410392284942,2.3
ballybet,-130.0,-0.025846873341715093,Florida Panthers @ Edmonton Oilers,player_shots_on_goal,Matthew Tkachuk,Over,2.5,-130.0,-150.0,-145.0,-142.0,-150.0,-135.0,-155.0,-150.0,0.5506082889807697,1.7692307692307692
betmgm,300.0,-0.049453506281430415,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Ross Colton,Yes,,230.0,300.0,,255.0,240.0,300.0,230.0,230.0,0.2376366234296424,4.0
fanduel,300.0,-0.049453506281430415,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Ross Colton,Yes,,230.0,300.0,,255.0,240.0,300.0,230.0,230.0,0.2376366234296424,4.0
betmgm,320.0,-0.04660741844500049,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Ryan Nugent-Hopkins,Yes,,280.0,320.0,,250.0,240.0,330.0,225.0,230.0,0.2269982337035713,4.2
betmgm,500.0,-0.011732229123533777,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Kiefer Sherwood,Yes,,320.0,500.0,,425.0,380.0,500.0,375.0,375.0,0.1647112951460777,6.0
fanduel,500.0,-0.011732229123533777,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Kiefer Sherwood,Yes,,320.0,500.0,,425.0,380.0,500.0,375.0,375.0,0.1647112951460777,6.0
fanduel,140.0,-0.08323049755307588,Colorado Avalanche @ Vancouver Canucks,player_goal_scorer_anytime,Nathan MacKinnon,Yes,,112.0,145.0,,130.0,130.0,140.0,110.0,110.0,0.3819872926862184,2.4
betonlineag,149.0,-0.014694810398061642,Colorado Avalanche @ Vancouver Canucks,player_shots_on_goal,Cale Makar,Over,3.5,,130.0,149.0,145.0,135.0,,125.0,130.0,0.3957048954224652,2.49
betmgm,900.0,0.06243733479172309,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Jesper Boqvist,Yes,,430.0,900.0,,800.0,700.0,900.0,620.0,650.0,0.1062437334791723,10.0
fanduel,900.0,0.06243733479172309,Florida Panthers @ Edmonton Oilers,player_goal_scorer_anytime,Jesper Boqvist,Yes,,430.0,900.0,,800.0,700.0,900.0,620.0,650.0,0.1062437334791723,10.0
