value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds
fanduel,280.0,0.12483446874251691,Boston Bruins @ New York Rangers,player_goals,Chris Kreider,Over,0.5,,,,,,210.0,280.0,175.0,180.0,0.296009070721715,3.8
ballybet,-175.0,0.01658795264542212,Buffalo Sabres @ Colorado Avalanche,player_power_play_points,Mikko Rantanen,Under,0.5,-175.0,-250.0,,,,-250.0,,-275.0,,0.6469196062289049,1.5714285714285714
ballybet,-165.0,0.019545518802229322,Buffalo Sabres @ Colorado Avalanche,player_power_play_points,Cale Makar,Under,0.5,-165.0,-225.0,,,,-230.0,,-255.0,,0.6348113607636523,1.606060606060606
fanduel,200.0,0.05641714213467308,Ottawa Senators @ Dallas Stars,player_goals,Brady Tkachuk,Over,0.5,,,,,,150.0,200.0,145.0,145.0,0.3521390473782244,3.0
fanduel,180.0,0.038049180448241904,Detroit Red Wings @ Columbus Blue Jackets,player_goals,Kirill Marchenko,Over,0.5,,,,,,135.0,180.0,135.0,135.0,0.3707318501600864,2.8
betmgm,1100.0,0.43923709141100353,Tampa Bay Lightning @ San Jose Sharks,player_goal_scorer_anytime,Darren Raddysh,Yes,,340.0,1100.0,,340.0,800.0,750.0,1100.0,670.0,750.0,0.1199364242842503,12.0
fanduel,1100.0,0.43923709141100353,Tampa Bay Lightning @ San Jose Sharks,player_goal_scorer_anytime,Darren Raddysh,Yes,,340.0,1100.0,,340.0,800.0,750.0,1100.0,670.0,750.0,0.1199364242842503,12.0
fanduel,210.0,0.046182525463612345,Carolina Hurricanes @ Florida Panthers,player_goals,Sebastian Aho,Over,0.5,,,,,,160.0,210.0,155.0,160.0,0.3374782340205201,3.1
fanduel,185.0,0.03227011578105543,Anaheim Ducks @ Winnipeg Jets,player_goals,Gabriel Vilardi,Over,0.5,,,,,,150.0,185.0,135.0,140.0,0.3622000406249317,2.85
draftkings,650.0,0.2108917801451593,Buffalo Sabres @ Colorado Avalanche,player_goal_scorer_anytime,Logan O'Connor,Yes,,380.0,350.0,,380.0,650.0,600.0,370.0,520.0,550.0,0.1614522373526879,7.5
draftkings,650.0,0.20491216828001835,Vancouver Canucks @ Seattle Kraken,player_goal_scorer_anytime,Nils Hoglander,Yes,,310.0,450.0,,300.0,650.0,650.0,450.0,555.0,600.0,0.1606549557706691,7.5
fanduel,260.0,0.05619885683224246,Anaheim Ducks @ Winnipeg Jets,player_goals,Frank Vatrano,Over,0.5,,,,,,200.0,260.0,190.0,195.0,0.2933885713422896,3.6
fanduel,250.0,0.05285610531500384,Boston Bruins @ New York Rangers,player_goals,Alexis Lafrenière,Over,0.5,,,,,,190.0,250.0,185.0,190.0,0.3008160300900011,3.5
draftkings,700.0,0.21990825315633433,Tampa Bay Lightning @ San Jose Sharks,player_goal_scorer_anytime,Nikolai Kovalenko,Yes,,320.0,500.0,,320.0,700.0,650.0,500.0,565.0,600.0,0.1524885316445418,8.0
fanduel,330.0,0.08647046293726235,Utah Hockey Club @ Calgary Flames,player_goals,Mikael Backlund,Over,0.5,,,,,,250.0,330.0,235.0,240.0,0.2526675495202936,4.3
fanduel,380.0,0.10114577686595494,Tampa Bay Lightning @ San Jose Sharks,player_goals,Fabian Zetterlund,Over,0.5,,,,,,290.0,380.0,260.0,275.0,0.2294053701804073,4.8
fanduel,280.0,0.029722180384137653,Boston Bruins @ New York Rangers,player_goal_scorer_anytime,Chris Kreider,Yes,,190.0,270.0,,190.0,225.0,210.0,280.0,175.0,180.0,0.2709795211537204,3.8
betmgm,450.0,0.10039032416159044,Ottawa Senators @ Dallas Stars,player_goal_scorer_anytime,Evgenii Dadonov,Yes,,260.0,450.0,,260.0,360.0,320.0,380.0,300.0,300.0,0.2000709680293801,5.5
fanduel,-106.0,0.019881130859666918,Anaheim Ducks @ Winnipeg Jets,player_shots_on_goal,Kyle Connor,Under,3.5,-136.0,-140.0,-120.0,,-125.0,-134.0,-106.0,-145.0,-135.0,0.5247932032578868,1.9433962264150944
