value_book,event_id,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betrivers_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,avg_dejuiced_prob,book_decimal_odds,EV
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goals,John Tavares,Over,0.5,,,,,,,160.0,220.0,145.0,150.0,0.3424836274181478,3.2,0.09594760773807298
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Dmitri Voronkov,Yes,,185.0,300.0,,185.0,185.0,200.0,,250.0,,,0.2785042315934765,4.0,0.11401692637390592
draftkings,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,James van Riemsdyk,Yes,,265.0,333.0,,265.0,260.0,475.0,,330.0,,,0.2120494273170238,5.75,0.21928420707288698
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goals,Travis Konecny,Over,0.5,,,,,,,150.0,210.0,145.0,150.0,0.3491318603447168,3.1,0.08230876706862222
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goals,Mitch Marner,Over,0.5,,,,,,,165.0,220.0,150.0,155.0,0.336611719911322,3.2,0.07715750371623042
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goals,Matvei Michkov,Over,0.5,,,,,,,230.0,320.0,215.0,220.0,0.2670246719851458,4.2,0.12150362233761247
betmgm,f7a725994d42e38c7fdcac24c6eedc9e,Anaheim Ducks @ Seattle Kraken,player_goal_scorer_anytime,Shane Wright,Yes,,270.0,500.0,,270.0,270.0,360.0,,500.0,,,0.1973239780423145,6.0,0.18394386825388698
fanduel,f7a725994d42e38c7fdcac24c6eedc9e,Anaheim Ducks @ Seattle Kraken,player_goal_scorer_anytime,Shane Wright,Yes,,270.0,500.0,,270.0,270.0,360.0,,500.0,,,0.1973239780423145,6.0,0.18394386825388698
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goals,Sam Bennett,Over,0.5,,,,,,,200.0,280.0,200.0,200.0,0.2875934770171475,3.8,0.0928552126651605
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Jordan Harris,Yes,,575.0,1800.0,,575.0,575.0,1000.0,,1600.0,,,0.0937403831467635,19.0,0.7810672797885065
draftkings,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goal_scorer_anytime,Dylan Strome,Yes,,215.0,290.0,,215.0,215.0,340.0,,290.0,,,0.2452861148513322,4.4,0.07925890534586166
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goals,Jonathan Marchessault,Over,0.5,,,,,,,165.0,220.0,165.0,165.0,0.3282590529321669,3.2,0.050428969382934064
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Alex Nylander,Yes,,375.0,550.0,,375.0,375.0,400.0,,650.0,,,0.1621389035576678,7.5,0.21604177668250846
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goals,Bobby McMann,Over,0.5,,,,,,,240.0,320.0,225.0,230.0,0.260142099574111,4.2,0.0925968182112662
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Brock Nelson,Yes,,160.0,220.0,,160.0,160.0,175.0,,230.0,,,0.309132292827945,3.3,0.02013656633221861
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goal_scorer_anytime,Owen Tippett,Yes,,220.0,290.0,,220.0,220.0,255.0,,330.0,,,0.2475592082304653,4.3,0.06450459539100062
betmgm,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Auston Matthews,Yes,,115.0,165.0,,115.0,115.0,135.0,,165.0,,,0.3732750338021732,2.65,-0.010821160424241083
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Auston Matthews,Yes,,115.0,165.0,,115.0,115.0,135.0,,165.0,,,0.3732750338021732,2.65,-0.010821160424241083
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goal_scorer_anytime,Bo Horvat,Yes,,165.0,210.0,,165.0,165.0,170.0,,230.0,,,0.3084140275739242,3.3,0.017766290993949885
betmgm,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goal_scorer_anytime,Matt Coronato,Yes,,235.0,360.0,,235.0,235.0,255.0,,360.0,,,0.2336224837102064,4.6,0.07466342506694934
fanduel,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goal_scorer_anytime,Matt Coronato,Yes,,235.0,360.0,,235.0,235.0,255.0,,360.0,,,0.2336224837102064,4.6,0.07466342506694934
fanduel,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goals,Dylan Larkin,Over,0.5,,,,,,,160.0,190.0,140.0,140.0,0.3564696184766963,2.9,0.0337618935824191
draftkings,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Jesper Boqvist,Yes,,380.0,650.0,,380.0,380.0,750.0,,650.0,,,0.1462773515203183,8.5,0.2433574879227054
fanduel,46ba799ca902ad4c63234a9a80fa1f5d,Boston Bruins @ New York Islanders,player_goals,Bo Horvat,Over,0.5,,,,,,,175.0,230.0,175.0,175.0,0.3187597502685367,3.3,0.05190717588617111
fanduel,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goal_scorer_anytime,Dylan Larkin,Yes,,140.0,170.0,,140.0,140.0,150.0,,190.0,,,0.34278231254743,2.9,-0.005931293612452926
fanduel,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Jordan Harris,Yes,,575.0,1800.0,,575.0,575.0,1000.0,,1600.0,,,0.0937403831467635,17.0,0.5935865134949796
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Alex Steeves,Yes,,525.0,750.0,,525.0,525.0,,,1000.0,,,0.1197488956056731,11.0,0.31723785166240415
fanduel,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Cole Caufield,Yes,,143.0,200.0,,143.0,140.0,160.0,,200.0,,,0.3320281138316565,3.0,-0.003915658505030617
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Cole Caufield,Yes,,143.0,200.0,,143.0,140.0,160.0,,200.0,,,0.3320281138316565,3.0,-0.003915658505030617
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_shots_on_goal,Jonathan Marchessault,Over,2.5,-165.0,-165.0,-156.0,-165.0,-165.0,-162.0,-165.0,-130.0,-175.0,-165.0,0.5754032473965032,1.7692307692307692,0.018021130009197917
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goal_scorer_anytime,Travis Konecny,Yes,,160.0,200.0,,160.0,160.0,145.0,,210.0,,,0.3214381735720145,3.1,-0.003541661926755091
betmgm,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goal_scorer_anytime,Martin Pospisil,Yes,,360.0,600.0,,360.0,360.0,400.0,,600.0,,,0.1649113331532991,7.0,0.1543793320730935
fanduel,1344a1b84cf359045577de22f7178b28,Calgary Flames @ Detroit Red Wings,player_goal_scorer_anytime,Martin Pospisil,Yes,,360.0,600.0,,360.0,360.0,400.0,,600.0,,,0.1649113331532991,7.0,0.1543793320730935
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Jake Evans,Yes,,390.0,700.0,,390.0,380.0,550.0,,650.0,,,0.1490834906983975,8.0,0.19266792558717993
fanduel,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_goal_scorer_anytime,Nils Hoglander,Yes,,320.0,500.0,,320.0,320.0,500.0,,550.0,,,0.1741253915166959,6.5,0.13181504485852336
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Alex Newhook,Yes,,280.0,450.0,,280.0,280.0,370.0,,440.0,,,0.1984410157479278,5.5,0.091425586613603
fanduel,b31a524df85cb62bd843187691873e09,Washington Capitals @ Tampa Bay Lightning,player_goals,Brayden Point,Over,0.5,,,,,,,130.0,150.0,115.0,115.0,0.4041924563658519,2.5,0.010481140914629705
betmgm,740afc1ee3f264f057d06af65bb2802c,Montréal Canadiens @ Columbus Blue Jackets,player_goal_scorer_anytime,Kent Johnson,Yes,,195.0,290.0,,195.0,195.0,265.0,,280.0,,,0.2623898415114779,3.9,0.023320381894763598
betmgm,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goal_scorer_anytime,Morgan Frost,Yes,,310.0,500.0,,310.0,300.0,400.0,,500.0,,,0.1842229291858136,6.0,0.10533757511488162
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_goal_scorer_anytime,Morgan Frost,Yes,,310.0,500.0,,310.0,300.0,400.0,,500.0,,,0.1842229291858136,6.0,0.10533757511488162
betmgm,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_goal_scorer_anytime,Danton Heinen,Yes,,350.0,600.0,,350.0,350.0,475.0,,600.0,,,0.1632310138926395,7.0,0.14261709724847638
fanduel,0739fdb73426ffe08de9cc530fd5e4cd,Vancouver Canucks @ Pittsburgh Penguins,player_goal_scorer_anytime,Danton Heinen,Yes,,350.0,600.0,,350.0,350.0,475.0,,600.0,,,0.1632310138926395,7.0,0.14261709724847638
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goal_scorer_anytime,Sam Bennett,Yes,,210.0,260.0,,210.0,210.0,195.0,,280.0,,,0.2677769070791229,3.8,0.017552246900666812
fanduel,482ef5661945b0a985a6e1f3f1eba0fc,Philadelphia Flyers @ Nashville Predators,player_shots_on_goal,Owen Tippett,Over,2.5,,-165.0,-156.0,,-165.0,-162.0,-165.0,-132.0,-175.0,-165.0,0.5742013662338813,1.7575757575757576,0.009202401259548854
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_shots_on_goal,Alex Nylander,Over,1.5,,-110.0,-103.0,,,-110.0,-110.0,112.0,-120.0,-110.0,0.4802314013703223,2.12,0.01809057090508337
fanduel,d461de759f13217951b6a8bb7145d36a,Toronto Maple Leafs @ Florida Panthers,player_goals,Sam Reinhart,Over,0.5,,,,,,,135.0,155.0,120.0,120.0,0.3930811952922349,2.55,0.0023570479951988688
