index,column_name,market,description,name,point,betmgm_price,betonlineag_price,betrivers_price,bovada_price,draftkings_price,fanduel_price
betrivers,player_shots_on_goal,Conor Garland,Over,2.5,2.5,-115.0,-110.0,110.0,-105.0,-110.0,-113.0
fanduel,player_shots_on_goal,David Pastrnak,Over,3.5,3.5,-155.0,-175.0,,-165.0,-168.0,-140.0
fanduel,player_shots_on_goal,Elias Pettersson,Under,2.5,2.5,-175.0,-159.0,-165.0,-155.0,-154.0,-138.0
betonlineag,player_shots_on_goal,David Pastrnak,Under,3.5,3.5,110.0,134.0,,125.0,130.0,108.0
draftkings,player_shots_on_goal,Quinn Hughes,Over,2.5,2.5,-160.0,-141.0,-150.0,-145.0,-130.0,-130.0
fanduel,player_shots_on_goal,Quinn Hughes,Over,2.5,2.5,-160.0,-141.0,-150.0,-145.0,-130.0,-130.0
draftkings,player_shots_on_goal,Quinn Hughes,Over,2.5,2.5,-160.0,-141.0,-150.0,-145.0,-130.0,-130.0
fanduel,player_shots_on_goal,Quinn Hughes,Over,2.5,2.5,-160.0,-141.0,-150.0,-145.0,-130.0,-130.0
bovada,player_shots_on_goal,Brock Boeser,Under,2.5,2.5,-145.0,,,-130.0,-142.0,-146.0
draftkings,player_shots_on_goal,David Pastrnak,Under,3.5,3.5,110.0,134.0,,125.0,130.0,108.0
betmgm,player_shots_on_goal,Jake DeBrusk,Over,2.5,2.5,145.0,132.0,,140.0,130.0,128.0
betrivers,player_shots_on_goal,Charlie McAvoy,Under,1.5,1.5,115.0,117.0,125.0,115.0,115.0,112.0
