event_id,sport_title,home_team,away_team,commence_time,market,outcome,BetMGM,BetOnline.ag,BetRivers,BetUS,Bovada,Caesars,DraftKings,FanDuel,LowVig.ag,MyBookie.ag
07a07eaa8f786d68cb371107f36f5b33,NBA,Dallas Mavericks,Minnesota Timberwolves,2024-12-25T19:30:00Z,h2h,Dallas Mavericks,No Data,No Data,No Data,No Data,No Data,-155.0,-155.0,No Data,No Data,No Data
07a07eaa8f786d68cb371107f36f5b33,NBA,Dallas Mavericks,Minnesota Timberwolves,2024-12-25T19:30:00Z,h2h,Minnesota Timberwolves,No Data,No Data,No Data,No Data,No Data,130.0,130.0,No Data,No Data,No Data
07a07eaa8f786d68cb371107f36f5b33,NBA,Dallas Mavericks,Minnesota Timberwolves,2024-12-25T19:30:00Z,spreads,Dallas Mavericks,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
07a07eaa8f786d68cb371107f36f5b33,NBA,Dallas Mavericks,Minnesota Timberwolves,2024-12-25T19:30:00Z,spreads,Minnesota Timberwolves,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
07a07eaa8f786d68cb371107f36f5b33,NBA,Dallas Mavericks,Minnesota Timberwolves,2024-12-25T19:30:00Z,totals,Over,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
07a07eaa8f786d68cb371107f36f5b33,NBA,Dallas Mavericks,Minnesota Timberwolves,2024-12-25T19:30:00Z,totals,Under,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
1868bde5ea04d48d73e7ec63602deebd,NBA,San Antonio Spurs,Oklahoma City Thunder,2024-11-20T02:40:00Z,h2h,Oklahoma City Thunder,-450.0,-400.0,-385.0,-400.0,-430.0,-440.0,-440.0,-420.0,-400.0,-435.0
1868bde5ea04d48d73e7ec63602deebd,NBA,San Antonio Spurs,Oklahoma City Thunder,2024-11-20T02:40:00Z,h2h,San Antonio Spurs,340.0,320.0,300.0,320.0,320.0,335.0,340.0,330.0,320.0,323.0
1868bde5ea04d48d73e7ec63602deebd,NBA,San Antonio Spurs,Oklahoma City Thunder,2024-11-20T02:40:00Z,spreads,Oklahoma City Thunder,-110.0,-110.0,-110.0,-110.0,-105.0,-110.0,-108.0,-110.0,-106.0,-110.0
1868bde5ea04d48d73e7ec63602deebd,NBA,San Antonio Spurs,Oklahoma City Thunder,2024-11-20T02:40:00Z,spreads,San Antonio Spurs,-110.0,-110.0,-110.0,-110.0,-115.0,-110.0,-112.0,-110.0,-106.0,-110.0
1868bde5ea04d48d73e7ec63602deebd,NBA,San Antonio Spurs,Oklahoma City Thunder,2024-11-20T02:40:00Z,totals,Over,-110.0,-110.0,-109.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0
1868bde5ea04d48d73e7ec63602deebd,NBA,San Antonio Spurs,Oklahoma City Thunder,2024-11-20T02:40:00Z,totals,Under,-110.0,-110.0,-112.0,-110.0,-110.0,-110.0,-110.0,-110.0,-107.0,-110.0
22a9b650e64ca15cb0c83dc0148a571e,NBA,Phoenix Suns,Denver Nuggets,2024-12-26T03:30:00Z,h2h,Denver Nuggets,No Data,No Data,No Data,No Data,No Data,118.0,120.0,No Data,No Data,No Data
22a9b650e64ca15cb0c83dc0148a571e,NBA,Phoenix Suns,Denver Nuggets,2024-12-26T03:30:00Z,h2h,Phoenix Suns,No Data,No Data,No Data,No Data,No Data,-140.0,-142.0,No Data,No Data,No Data
22a9b650e64ca15cb0c83dc0148a571e,NBA,Phoenix Suns,Denver Nuggets,2024-12-26T03:30:00Z,spreads,Denver Nuggets,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
22a9b650e64ca15cb0c83dc0148a571e,NBA,Phoenix Suns,Denver Nuggets,2024-12-26T03:30:00Z,spreads,Phoenix Suns,No Data,No Data,No Data,No Data,No Data,-110.0,-110.0,No Data,No Data,No Data
22a9b650e64ca15cb0c83dc0148a571e,NBA,Phoenix Suns,Denver Nuggets,2024-12-26T03:30:00Z,totals,Over,No Data,No Data,No Data,No Data,No Data,-115.0,-110.0,No Data,No Data,No Data
